fold,train_losses,val_losses,val_accuracies,val_f1s,val_roc_aucs,best_val_loss,test_loss,test_acc,test_f1,test_roc_auc
1,"[1.0584844932419613, 1.0176848107497598, 0.9962337085328964, 0.9896616192641238, 0.9793493907882254, 0.9731640998224855, 0.9727183350644973, 0.9685737876640017, 0.9635860056078906, 0.9663352904603345, 0.9614361403797167, 0.9633324306441824, 0.9625674370627046, 0.9598140316125054, 0.9585645729224588, 0.9625792907723246, 0.9599243703130058, 0.9578191393797618, 0.958742900960771, 0.9598045212581819, 0.9570269669992808, 0.9570658637563563, 0.957321103317622, 0.9576867212282929, 0.9543357243359352, 0.9585830623095256, 0.9625354142703674, 0.9611010936125784, 0.9543541144694526, 0.9554641217912346, 0.9545654815986818, 0.9591018993423899, 0.9576420941541899, 0.9617020991930353, 0.9469630330932298, 0.9535985804339338, 0.9483804945641152, 0.946052899444681, 0.9443904749622429, 0.9471081717161355, 0.9528244221788146, 0.945034759947907, 0.9484147832519683]","[0.585350713842334, 0.6176288019863438, 0.5841092489137182, 0.6151458721291123, 0.5915580384854128, 0.6108007448789572, 0.6374922408441962, 0.617008069522036, 0.5580384854127871, 0.6288019863438857, 0.6523898199875854, 0.5915580384854128, 0.6076970825574177, 0.6263190564866542, 0.6579764121663563, 0.6312849162011173, 0.6126629422718808, 0.6362507759155804, 0.5543140906269398, 0.5599006828057107, 0.5934202358783365, 0.643699565487275, 0.5133457479826194, 0.6194909993792675, 0.6076970825574177, 0.6312849162011173, 0.5847299813780261, 0.5983860955927995, 0.6033519553072626, 0.6014897579143389, 0.6573556797020484, 0.65983860955928, 0.6213531967721911, 0.6343885785226567, 0.6219739292364991, 0.6151458721291123, 0.6045934202358784, 0.6176288019863438, 0.590937306021105, 0.6163873370577281, 0.6443202979515829, 0.6499068901303539, 0.6350093109869647]","[0.4421266855366684, 0.44521598683440416, 0.4506464905415449, 0.4284413908244888, 0.40427856224711617, 0.46082830550040127, 0.5067552819327305, 0.45460062878824736, 0.3926121226781218, 0.4949218884914624, 0.5110670638756677, 0.42870599541071036, 0.4648265539118123, 0.45044467666194116, 0.5183933747600424, 0.4746547529773905, 0.4636585662675085, 0.45528333787374714, 0.3759463040296113, 0.39506138753335573, 0.43503579375761614, 0.4852338554676557, 0.40411891933778216, 0.44400084417402885, 0.4364138440355005, 0.46986411739683237, 0.4486845580877501, 0.4280783829860065, 0.43514618898709095, 0.45160714546264574, 0.476543194156475, 0.5123263036845711, 0.47099494835685723, 0.47307023269240184, 0.4758651471863409, 0.45795967796143433, 0.4489901886179439, 0.4675907655921425, 0.4188553267429853, 0.47148393286317186, 0.5010169780710655, 0.519896382115949]","[0.6528239837898366, 0.719583255454579, 0.7363118809250212, 0.7407481569846688, 0.7301547829359677, 0.7494498448897405, 0.7706437355807855, 0.75511043373327, 0.7537688413221427, 0.7606501515914296, 0.7652741779515063, 0.7548054909212262, 0.7610145943918916, 0.7554724496714819, 0.7618164738000882, 0.7639647415981358, 0.7636899666545617, 0.7630880017696086, 0.7401201726995983, 0.7568335061261156, 0.7642415659806104, 0.7723933098094475, 0.7337417916155345, 0.7581188293340687, 0.7510108189901642, 0.7662665441186145, 0.7591504437112359, 0.7521643693515894, 0.7517635230947232, 0.767634993930492, 0.7658200444574091, 0.765488100152929, 0.7400696716191554, 0.7396417398621233, 0.762383891084829, 0.7645322233564221, 0.7536631943944657, 0.7592300876452397, 0.7637993639461788, 0.7635015908830883, 0.7637630676487484, 0.7700475118390547]","[1.0281028280071183, 0.9383333150078269, 0.9707137895565406, 0.9377835299454483, 0.9482353528340658, 0.9375636589293387, 0.9237085382143656, 0.9005328627193675, 0.9911118640619165, 0.9216142799340042, 0.8991685907046, 0.9603051426363927, 0.9342276640966827, 0.9173397527021521, 0.9022044796569675, 0.9048052874265933, 0.9420874551230786, 0.867726607649934, 0.9753196660210105, 0.9454494212187973, 0.9604078402706221, 0.8763761730755076, 1.033556861035964, 0.898748517036438, 0.901257313934027, 0.9061727593926823, 0.9664989043684566, 0.9359137497696222, 0.9150050598032334, 0.9507149119003147, 0.8585285579457003, 0.8910148774876314, 0.9052477069929534, 0.8852355643814686, 0.9085421784251344, 0.920289933681488, 0.9211690238877839, 0.9144035192096934, 0.9365768911791783, 0.9055312977117651, 0.8991970875683952, 0.890610888892529]",0.5133457479826194,0.4707196029776675,0.40536597203844976,0.7096207736942147,1.0269903460192302
2,"[1.0607877288358327, 1.0291599031324428, 0.9952356435916497, 0.9863099736789249, 0.9726626949163261, 0.9657996136711557, 0.9646587703984214, 0.9654699561354347, 0.9627340613220232, 0.9651564644559365, 0.963243688124392, 0.9566965918446427, 0.9561429576464161, 0.9525238209884073, 0.9549607457305891, 0.9558371650752517, 0.9505819007426106, 0.9546939162168209, 0.9488626354854013, 0.9550168898924857, 0.9486521893398352]","[0.531967721911856, 0.5971446306641838, 0.5797641216635631, 0.5878336436995655, 0.5921787709497207, 0.6083178150217257, 0.6213531967721911, 0.6256983240223464, 0.6157666045934203, 0.5940409683426443, 0.6194909993792675, 0.638733705772812, 0.6076970825574177, 0.6033519553072626, 0.5915580384854128, 0.590937306021105, 0.6238361266294227, 0.6052141527001862, 0.6368715083798883, 0.6312849162011173, 0.6027312228429547]","[0.375842994808512, 0.4766408334327101, 0.39401669353725755, 0.4555594944780889, 0.4209384270082155, 0.47576503877536025, 0.48158119108074054, 0.4595124157436239, 0.4456171606132897, 0.4217284407854435, 0.4496875351224199, 0.49025826103966397, 0.47480048357746063, 0.44173050416947096, 0.4351581987056816, 0.4354511348792129, 0.4551750852143978, 0.47260336699218247, 0.48964410391718544, 0.4957962462152741]","[0.6438909688576145, 0.7178922814391854, 0.724002652268287, 0.7310111436477894, 0.7447812011072505, 0.7490454033425059, 0.7517432454103821, 0.7443756478299881, 0.7335252571132852, 0.7548129851825193, 0.7413493716733429, 0.7499055899069068, 0.7372526494970795, 0.7572966756835285, 0.7515903973107925, 0.7522100693153438, 0.7526222238276324, 0.7495413756245471, 0.7554412226127911, 0.7585289324127776]","[1.0319145777646233, 0.9410060597401039, 0.9697242624619428, 0.9667017354684717, 0.939004524081361, 0.9519200675627765, 0.9448252577407688, 0.8979893829308304, 0.9388612999635584, 0.9129468915509242, 0.8990044593811035, 0.9058922061733171, 0.9233450468848733, 0.9286362353493186, 0.9426824146626043, 0.9412387901661443, 0.8871816455149183, 0.9304258893517887, 0.8964957793553671, 0.9093251999686746]",0.531967721911856,0.43746898263027295,0.334128743880991,0.6158116494487614,1.0394322801203955
3,"[1.0593578002788948, 1.0164594075228148, 0.9875086817709885, 0.9738875190329447, 0.9710388073312028, 0.9675426094542516, 0.9627341253904519, 0.966909220696546, 0.9607745659771469, 0.9609339537862114, 0.9621858506213201, 0.9566485283133217, 0.9522677469621146, 0.9495983306269289, 0.9546490372014991, 0.9524077811167628, 0.9479484499025975, 0.9506743747232244, 0.9478934501761381, 0.9438279302634857, 0.9507621567417347]","[0.37368094351334574, 0.6312849162011173, 0.6083178150217257, 0.6033519553072626, 0.6759776536312849, 0.6188702669149596, 0.617008069522036, 0.6418373680943513, 0.6468032278088144, 0.5605214152700186, 0.6294227188081937, 0.6492861576660459, 0.6139044072004965, 0.638733705772812, 0.638733705772812, 0.6362507759155804, 0.6188702669149596, 0.6126629422718808, 0.6157666045934203, 0.654252017380509, 0.6554934823091247]","[0.32905962172620806, 0.4590962839851184, 0.47125733224959815, 0.40611565505769076, 0.49660716538465516, 0.464079588357488, 0.4221077511927767, 0.46374425693757654, 0.5043891530790499, 0.35489543970751997, 0.47199026649022313, 0.5050190453630871, 0.4283057181040046, 0.5041094278682023, 0.4841124523847846, 0.4660953846603799, 0.4616455031281228, 0.4370140856741343, 0.45431410937703937, 0.4873836545326884]","[0.65035453898899, 0.7484937970792728, 0.7280191834499364, 0.7431021665391077, 0.766841084936638, 0.7525839861673878, 0.7597619646484467, 0.7566938131863722, 0.7608956536943791, 0.7549049054932534, 0.7632740433042203, 0.7649256502081524, 0.7594299452043701, 0.760708213367108, 0.7639544468133636, 0.7695942066790673, 0.7640410073972936, 0.7588367397072266, 0.760407944636056, 0.7695002584984483]","[1.0625119548217923, 0.9476402764226876, 0.8974999995792613, 0.9068822089363547, 0.8736934182690639, 0.9467839294788885, 0.9079862844710257, 0.8769551036404628, 0.9113102683834001, 0.985235758856231, 0.931964700128518, 0.8997269342927372, 0.9114996007844514, 0.9145809598997527, 0.8942012716742123, 0.8839843915958031, 0.9097937006576389, 0.9000412272472008, 0.9126520168547537, 0.8988439090111676]",0.37368094351334574,0.3940446650124069,0.3506819999693321,0.6212469965216925,1.0465953539288233
4,"[1.0567613702250997, 1.0086273086228559, 0.9858592454557377, 0.9754565457940627, 0.9684935768795434, 0.9658713751689978, 0.9657893308196299, 0.9650106076889626, 0.9608570236203954, 0.9634217659282264, 0.9645225084038033, 0.9617193765314666, 0.9581454916147408, 0.954399593469855, 0.950428944064657, 0.9528948952185425, 0.9493953955856189, 0.94987470751817, 0.9476384377427038, 0.9496382560236338, 0.9475262791312213]","[0.5257603972687771, 0.5884543761638734, 0.6157666045934203, 0.6610800744878957, 0.6213531967721911, 0.6108007448789572, 0.6021104903786468, 0.6095592799503414, 0.5729360645561763, 0.6368715083798883, 0.5859714463066419, 0.5965238981998758, 0.638112973308504, 0.6089385474860335, 0.5996275605214153, 0.6039726877715704, 0.6306641837368094, 0.6145251396648045, 0.6008690254500311, 0.6095592799503414, 0.6325263811297331]","[0.3417940279058791, 0.4529801848847024, 0.46280935854650074, 0.4883199418998219, 0.48524224000088295, 0.4558923564723769, 0.5081950358921434, 0.4518695700463891, 0.46767566377750064, 0.5150884600126867, 0.47156795467208973, 0.43591645250958405, 0.5046897363749046, 0.4802731850638115, 0.4317282052023126, 0.47046170241527047, 0.48326789799423303, 0.4457105943152455, 0.4307752906795497, 0.4476795849706925]","[0.6569716663221697, 0.7349200890309152, 0.7343186716869426, 0.742494127854353, 0.7483789253379518, 0.7508621558270411, 0.7566516211655384, 0.740189915689271, 0.7438971544978127, 0.7574583774652232, 0.7438067015378911, 0.7524125498625311, 0.7433338782292666, 0.7376197437998583, 0.7415780070816439, 0.7468638516475008, 0.7539252560444766, 0.7494596384551887, 0.7477030739678878, 0.7584868557665176]","[1.0061048093964071, 0.9856668663959877, 0.9418889576313543, 0.8938963518423193, 0.9463459311747083, 0.9531404317594042, 0.951101652547425, 0.9252752509771609, 0.9771092522378061, 0.9450825499553307, 0.9656503247279747, 0.9238309042126525, 0.9188368121782938, 0.9427527656742171, 0.9417072008637821, 0.9517022721907672, 0.8998081497117585, 0.9062768793573567, 0.9334518827644049, 0.9112203366616193]",0.5257603972687771,0.43757756267063785,0.3008437806468328,0.6209408727748486,1.038833136596377
5,"[1.0596254343240796, 1.0160892838160898, 0.9957903136503329, 0.9798793342407579, 0.9728939361246672, 0.9709703830370294, 0.9677673024227966, 0.9676139661919178, 0.9644669868084828, 0.9675851637571393, 0.9642721518283374, 0.9687558937702935, 0.9576219907153546, 0.9575081702633577, 0.9537162088875203, 0.9520125670054935, 0.9574011061422625, 0.9548039396954003, 0.9545520797437508, 0.9523263563143525, 0.955114174781917]","[0.5493482309124768, 0.590316573556797, 0.6238361266294227, 0.6511483550589696, 0.6623215394165115, 0.6014897579143389, 0.5716945996275605, 0.6399751707014277, 0.6095592799503414, 0.6269397889509621, 0.6443202979515829, 0.6182495344506518, 0.6362507759155804, 0.6039726877715704, 0.62756052141527, 0.612042209807573, 0.6188702669149596, 0.6095592799503414, 0.6312849162011173, 0.5934202358783365, 0.5822470515207946]","[0.34251511248277255, 0.40593661332425374, 0.4506517939867689, 0.4618785841935573, 0.47798789680628423, 0.43420881839938347, 0.37276965155653774, 0.4715480273140704, 0.436594710141655, 0.44083052538938244, 0.4845715172116807, 0.48112186795022344, 0.47817376718537075, 0.4438691726918355, 0.4693343313717144, 0.4327963286247585, 0.44076118635593486, 0.4489650394044551, 0.48383432461535764, 0.4345839200178078]","[0.6432832965344275, 0.7278865708938552, 0.7430929073504605, 0.7519522425320755, 0.7521144283598509, 0.7536165151088522, 0.7387827854967958, 0.7428176351189896, 0.7519328520398895, 0.7404718218029118, 0.764006796837367, 0.759031112198555, 0.7567713277846906, 0.7498493752914236, 0.7578673626591564, 0.7554079165701709, 0.7478741421813367, 0.7539311519613813, 0.756570436145476, 0.7551847674192378]","[1.021684499347911, 0.9883025592448664, 0.9321808557884366, 0.886441030923058, 0.9074327454847448, 0.934513135283601, 0.9427044824057934, 0.9157255011446336, 0.9299133525175207, 0.9141419120863372, 0.9095729273908278, 0.9502383961397058, 0.920145128287521, 0.9253696179857441, 0.9141126006257301, 0.9202384633176467, 0.9020044394567901, 0.9207226014604756, 0.9177910790723913, 0.9415265134736603]",0.5493482309124768,0.4422933730454207,0.30500942433930617,0.6319066992937045,1.0305380944221738
6,"[1.0582661546011853, 1.0200022981555452, 0.9918154189240039, 0.9691638556608545, 0.9700021335469469, 0.9686897638610806, 0.9653028063311976, 0.9638717934686182, 0.9673366428471872, 0.9626778528291223, 0.9640388885258578, 0.9599369956008138, 0.9515156566046408, 0.9617501310840052, 0.9499778935300096, 0.9514410736014665, 0.9523352819129759, 0.9511495313980506, 0.9502975836987012, 0.949639580585883, 0.9441986992495701]","[0.33147113594040967, 0.5344506517690876, 0.4860335195530726, 0.6294227188081937, 0.617008069522036, 0.6002482929857231, 0.6070763500931099, 0.5859714463066419, 0.6455617628801986, 0.5493482309124768, 0.6070763500931099, 0.6474239602731223, 0.6430788330229671, 0.5940409683426443, 0.611421477343265, 0.6443202979515829, 0.6418373680943513, 0.6511483550589696, 0.6424581005586593, 0.6238361266294227, 0.6083178150217257]","[0.2772209966989241, 0.43681982203862296, 0.4256553462715811, 0.470321733684481, 0.4590758181568848, 0.42703796089667295, 0.42232914550257955, 0.42499586465103706, 0.4820626581484602, 0.38143575254401124, 0.4272979470210561, 0.4835738449886393, 0.5207773692031245, 0.4318363158128735, 0.45446799148732087, 0.5095674094529931, 0.49977963188265145, 0.5096356434384604, 0.47886549715596627, 0.47059705619270503]","[0.6514363651209615, 0.7251815528679563, 0.7398800593170467, 0.7562708676283875, 0.7609096124309674, 0.7414297696187279, 0.7503055521868621, 0.7518662375079765, 0.757680971216066, 0.7482651558756751, 0.7631244315575664, 0.7656328893107055, 0.7600255949298246, 0.752886569420744, 0.7633540530028609, 0.7621471874579413, 0.7581013818244823, 0.7572093547240358, 0.7646456053142723, 0.7564770361306065]","[1.0811397141101313, 0.9990556929625717, 0.9979069010884154, 0.9338882764180502, 0.9348805394827151, 0.929894275525037, 0.9199523072616727, 0.9491883446188534, 0.9006136609058754, 0.993531631488426, 0.9322675793778663, 0.885574994133968, 0.9197962810011471, 0.9482228580643149, 0.9389488416559556, 0.9127124466148078, 0.8990668864811168, 0.8931365842912712, 0.8923570992899876, 0.911476640140309]",0.33147113594040967,0.38957816377171217,0.32208909171520217,0.6309063924068217,1.0529750301724388
7,"[1.0616692374193721, 1.0181382180310556, 0.9933004681234318, 0.9838512991493494, 0.9747086106943139, 0.9690375672037906, 0.9717962135302338, 0.9684029824145565, 0.9674972876053024, 0.9658201893520776, 0.9674926868881948, 0.9577849968151899, 0.9590145352128319, 0.9592802231794937, 0.9545260115079418, 0.954915471145235, 0.9539580078639648, 0.9543092673570575, 0.9526913997097688, 0.9518107820449947, 0.9515308819153235]","[0.5021725636250776, 0.6213531967721911, 0.6139044072004965, 0.6269397889509621, 0.5841092489137182, 0.5983860955927995, 0.5872129112352577, 0.6089385474860335, 0.6201117318435754, 0.5779019242706394, 0.6306641837368094, 0.6070763500931099, 0.6157666045934203, 0.6076970825574177, 0.6002482929857231, 0.5965238981998758, 0.5965238981998758, 0.6424581005586593, 0.6430788330229671, 0.6337678460583489, 0.5940409683426443]","[0.311712317352233, 0.4242064984303527, 0.4950334175923849, 0.44474904503834933, 0.39971742860026244, 0.42815583892595804, 0.41935993606039457, 0.5332215258090723, 0.44814474802875637, 0.4461713730942494, 0.46488528520386024, 0.4357710730737991, 0.4491729401981628, 0.4534785172987647, 0.4376719732738057, 0.4234753094220001, 0.48208157464258994, 0.5038513499330234, 0.49869043384917133, 0.4603289886618556]","[0.6567381848672137, 0.7256545246295271, 0.7376521109851941, 0.7384604769267545, 0.7496948883395697, 0.7490309524675421, 0.7446653657795862, 0.7624008280993829, 0.7466664946053072, 0.754171305599313, 0.7578008052119234, 0.7600242114934419, 0.749330195963754, 0.7597578217666023, 0.7474797795077966, 0.7612378078995459, 0.7605904503684954, 0.7615917346871051, 0.7663164740512997, 0.7579019783821245]","[1.0192326599476385, 0.8981280899515339, 0.9535826982236376, 0.9522240255393234, 0.9505073416466806, 0.9498819615326676, 0.9440413748516756, 0.9256524759180406, 0.9191052212434656, 0.956055014741187, 0.9078098547224905, 0.9265754479987949, 0.915479720807543, 0.9181912705010059, 0.9197398938384711, 0.9248623696028018, 0.9407068596166723, 0.905562652092354, 0.8979259635887894, 0.8891251706609539]",0.5021725636250776,0.4295285359801489,0.2886074603054802,0.6302118657952427,1.036685124749229
8,"[1.059461279981462, 1.0265404222295147, 0.992307324504012, 0.9763521285571716, 0.9704347918474727, 0.9739284630914091, 0.9667431806677763, 0.9698333221647708, 0.9675615536221324, 0.9671244060678104, 0.965073517109329, 0.9675595468886623, 0.9617775606426373, 0.9641982636000092, 0.9562478492175955, 0.9536331186998258, 0.9539494057583914, 0.9528372306130531, 0.9546911940963257, 0.9539064745283337, 0.9569703158040404, 0.9548360656799199, 0.9513328519161577]","[0.5735567970204841, 0.548106765983861, 0.4897579143389199, 0.62756052141527, 0.6045934202358784, 0.5977653631284916, 0.6083178150217257, 0.5567970204841713, 0.5741775294847921, 0.5493482309124768, 0.5934202358783365, 0.5884543761638734, 0.6455617628801986, 0.5983860955927995, 0.5921787709497207, 0.5841092489137182, 0.5729360645561763, 0.5766604593420236, 0.5698324022346368, 0.6076970825574177, 0.5865921787709497, 0.6157666045934203, 0.6021104903786468]","[0.4261354621997116, 0.3944446341690595, 0.3326465670833995, 0.4602346425169756, 0.46024617625166914, 0.4209168504333416, 0.47499470064429783, 0.3895822127509841, 0.3907860471780005, 0.39044534962903693, 0.4264235468330637, 0.43622305416307167, 0.490337531799597, 0.4327533953744204, 0.439201402359944, 0.45235485828350686, 0.4123608413215203, 0.41323207065216194, 0.38326828255211215, 0.46728740526900364, 0.4061471130236985, 0.4953856294957952]","[0.654980606977379, 0.7154275670129473, 0.7082535902324688, 0.7330593518965367, 0.738634887909878, 0.7300066968555315, 0.741794455999063, 0.7313219671734559, 0.7274705952117091, 0.729703747644078, 0.7445767248803367, 0.7374431666271538, 0.7529621061974382, 0.7292023632068002, 0.7413565034185696, 0.7321242540632387, 0.7358992004480669, 0.7382947780000038, 0.7417284666230414, 0.7439799333772443, 0.7395381705539461, 0.7420903728164475]","[1.009245430721956, 1.0113336175095802, 1.050947412556293, 0.9156156965330535, 0.9523585204984627, 0.9515924652417501, 0.9600312522813386, 0.9623246274742425, 0.9193223001910191, 0.977989021469565, 0.9392432815888349, 0.9636919697125753, 0.8968774302333009, 0.9528389689969081, 0.9584829480040307, 0.9434305008719949, 0.9647437743112153, 0.9479888233484006, 0.9491791094050688, 0.9410264234916836, 0.934382327631408, 0.9339282033490199]",0.4897579143389199,0.43771712158808934,0.32398182992514507,0.6873456715196866,1.0348307920826807
9,"[1.0604207679826259, 1.0064479486795248, 0.9840822351136397, 0.9789195680408226, 0.9707982814522041, 0.9689043673649759, 0.9615581290312275, 0.963759870387384, 0.9607670313723812, 0.9645491774124196, 0.9653855482124547, 0.9558429745588009, 0.9579222392668283, 0.9581759091515898, 0.958390507141399, 0.961352273099748, 0.9578374548105416, 0.9507460834433854, 0.9598627309704667, 0.9582347330280337, 0.9531433293472827, 0.9538685640049401, 0.9473452423637659, 0.9458142115943757, 0.9439560006893679, 0.9419933641534545, 0.9452355522416237, 0.9455417795065741, 0.9466194166485958, 0.9439113036388868, 0.9473791417833992]","[0.590316573556797, 0.6288019863438857, 0.6474239602731223, 0.6319056486654252, 0.5816263190564867, 0.6145251396648045, 0.5990068280571074, 0.6157666045934203, 0.5710738671632526, 0.6157666045934203, 0.5599006828057107, 0.6412166356300435, 0.6306641837368094, 0.6201117318435754, 0.6294227188081937, 0.6157666045934203, 0.6288019863438857, 0.643699565487275, 0.6002482929857231, 0.611421477343265, 0.5878336436995655, 0.6617008069522036, 0.6499068901303539, 0.6424581005586593, 0.6461824953445066, 0.6207324643078833, 0.6232153941651148, 0.6076970825574177, 0.6188702669149596, 0.6194909993792675, 0.6076970825574177]","[0.3931040557945129, 0.49803958163579615, 0.46265953826529466, 0.4819580665207641, 0.4943258664412511, 0.42903380990845014, 0.4324834659439201, 0.4467067713437574, 0.35909658409997863, 0.4365378530095028, 0.3865635550979487, 0.4763157557849345, 0.4798136863193749, 0.4490878095879392, 0.45039666479795987, 0.4480443128095179, 0.47567407794199784, 0.49573143117296586, 0.4216898708918724, 0.4347700165908681, 0.399563478371989, 0.5024266550980921, 0.5024588651955076, 0.4832953630894207, 0.5002253661192927, 0.45209444749307925, 0.45700156491477, 0.4392705877314074, 0.4507157645689099, 0.4802633642100069]","[0.6647349262165331, 0.7379223165624017, 0.74343596380296, 0.7403323370037721, 0.7562302252882404, 0.7487352019507307, 0.7544227056256035, 0.7516660060536745, 0.7462659168115483, 0.7660018188236709, 0.7487700720378752, 0.765150533322863, 0.7671672338066476, 0.7519043824359727, 0.7658128505539751, 0.7641253780778813, 0.7636872828533344, 0.7714533457022429, 0.7678401934315294, 0.7694593805500247, 0.7609423309544256, 0.7790638601423056, 0.7691372938883977, 0.7662592778432419, 0.7641276410480221, 0.7688242481667412, 0.7648354195896049, 0.7607654799386054, 0.7629296989228945, 0.7600017744653429]","[0.9746847830566705, 0.9266829186794805, 0.9284549449004379, 0.9159980673415988, 0.9550377177257164, 0.9200188202016494, 0.9381726454286015, 0.9282015713990903, 0.9591067760598426, 0.9183833435469982, 0.977977641657287, 0.8977308401874468, 0.9074241367040896, 0.8712230219560511, 0.8955696330350988, 0.9061564978431252, 0.9002462391759835, 0.8923787053893594, 0.9282236461545906, 0.9006534113603479, 0.9506421965711257, 0.8591557565857383, 0.883285708287183, 0.8725636297581243, 0.8890692369610655, 0.8884351545689153, 0.8917586219077017, 0.9267145208283967, 0.8912461400032043, 0.9070898049017962]",0.5599006828057107,0.4656242243732936,0.34701007637429027,0.7044458818779503,1.0137811913376762
10,"[1.061263869906312, 1.0351362950476255, 0.996062619308018, 0.9826098224927675, 0.9688316586259178, 0.9668130321912304, 0.9716389580970294, 0.9648680377111561, 0.9665732974522965, 0.9649612386321181, 0.9635717720449759, 0.9655603520933227, 0.9534793850608859, 0.9540546473427491, 0.9539307312555775, 0.95262436247082, 0.9532512296401456, 0.9523172458625575, 0.9545663899787197, 0.9503433141151714, 0.9547273197625702]","[0.37740533829919304, 0.6008690254500311, 0.5791433891992551, 0.6052141527001862, 0.6449410304158908, 0.633147113594041, 0.6194909993792675, 0.5561762880198634, 0.6530105524518932, 0.6219739292364991, 0.612042209807573, 0.6076970825574177, 0.6393544382371198, 0.6306641837368094, 0.5971446306641838, 0.5890751086281812, 0.6269397889509621, 0.6430788330229671, 0.6256983240223464, 0.6418373680943513, 0.6499068901303539]","[0.30904022295978956, 0.4787102378710543, 0.40105868567234637, 0.44416747930379863, 0.5356744868983527, 0.46108309644705897, 0.4492370517834381, 0.4295294451255507, 0.513826215347457, 0.4680720571471724, 0.43836030110710666, 0.466217387338077, 0.5030533718563212, 0.46349652877026043, 0.4195684004889932, 0.42744110794847945, 0.49136826748549484, 0.48278144072113705, 0.4709058419880114, 0.4755866507117898]","[0.6367155858450912, 0.7336946334532531, 0.7417483272205821, 0.7429248580872406, 0.7591999095924166, 0.7476874283917425, 0.7388449759145431, 0.742081096826326, 0.7598441398056114, 0.7604212642760609, 0.7595153145493341, 0.751571302772409, 0.7656826891133125, 0.7513898325901102, 0.7488554792086517, 0.7508515363194589, 0.758022863388553, 0.7634439734192964, 0.7611075068442547, 0.7613721939697209]","[1.0490245094486312, 0.9780345196817436, 0.993140810844945, 0.9665741078993854, 0.9281914876956566, 0.9064466228672102, 0.9174226943184348, 0.9877030463779674, 0.9099192257020988, 0.9342140905997333, 0.9333902702612036, 0.961595260629467, 0.922903508532281, 0.9199104799943811, 0.9527808007072, 0.958420103671504, 0.9233323592765659, 0.8994605400983025, 0.9347697554850111, 0.9009366257517946]",0.37740533829919304,0.41921072226358896,0.35529411040037645,0.6300000780732545,1.0443292137176272
