fold,train_losses,val_losses,val_accuracies,val_f1s,val_roc_aucs,best_val_loss,test_loss,test_acc,test_f1,test_roc_auc
1,"[1.0631008757368583, 1.0173159782581918, 1.0126596392513898, 1.0124872090532917, 1.0135327708878705, 1.0063108568149517, 1.0027535548556743, 1.0040785809445487, 1.0133905889966939, 1.0073435278978642, 0.9992546588838889, 1.0029152113172977, 0.9979722045591749, 1.0003456884281225, 0.9976189295363321, 1.0011855353342805, 0.9983860531304901, 0.9985725244236413, 0.9983734403150197, 0.997522172686287, 1.0005634235390481, 0.9942765262158432, 0.9982625698990759, 0.997995428314293, 0.9978396854474156, 0.9956157141845132, 0.9936765712000725, 0.993909950692223, 0.9892865043904813, 0.9839276701605792, 0.9825589562302645, 0.9792703639568211, 0.9810158267682869, 0.9819332203675997, 0.9842111019310972, 0.9835572362208681, 0.9796754917384244]","[0.6101800124146493, 0.5344506517690876, 0.5611421477343265, 0.6027312228429547, 0.6126629422718808, 0.4934823091247672, 0.6052141527001862, 0.5518311607697083, 0.5890751086281812, 0.4972067039106145, 0.6263190564866542, 0.5847299813780261, 0.6194909993792675, 0.6132836747361887, 0.5946617008069522, 0.6325263811297331, 0.48168839230291743, 0.5890751086281812, 0.5189323401613904, 0.6033519553072626, 0.6306641837368094, 0.5344506517690876, 0.612042209807573, 0.5803848541278709, 0.6058348851644941, 0.5294847920546245, 0.5679702048417132, 0.6269397889509621, 0.6021104903786468, 0.5834885164494104, 0.5735567970204841, 0.5630043451272502, 0.5549348230912476, 0.548106765983861, 0.6163873370577281, 0.6033519553072626, 0.5990068280571074]","[0.4264221448904802, 0.36041626086887674, 0.5034492969143347, 0.4269807231497201, 0.50489155615663, 0.4629079163552802, 0.4603501969497629, 0.5019182858106176, 0.45312868289610475, 0.44945930142357166, 0.5166613669873185, 0.4652330697461839, 0.49712548197125467, 0.4608515566686487, 0.5295036841051217, 0.4489837603276499, 0.47584519769786, 0.4917840902355403, 0.4837556232042021, 0.4822468644816608, 0.5344452536313643, 0.5070237421383091, 0.4952916486759031, 0.5225550397347004, 0.5289090037510559, 0.501103366149091, 0.458315860158002, 0.46021936770212934, 0.49002663678901687, 0.4978074732821507, 0.5041723078189027, 0.4952712090828426, 0.49766441969267855, 0.49294975724208695, 0.502427989371922, 0.47517919123881774]","[0.6973147518684216, 0.7001042698864458, 0.7431192850817245, 0.7212436790265347, 0.7404131097160125, 0.7325449740580506, 0.7381483765379532, 0.7523499588119091, 0.7306446106038665, 0.729843406985136, 0.7571566389794165, 0.7402871012956053, 0.7514208227224589, 0.7457611254474056, 0.7525897702039893, 0.7209637782699628, 0.7454402905983378, 0.7472214795476629, 0.7423142545620554, 0.7452759641986765, 0.738465323464344, 0.7497855863002628, 0.7457179792096542, 0.7585798254348469, 0.740904995842309, 0.7536816358364956, 0.7366751023552842, 0.7418059134208678, 0.757259771749187, 0.7499469363481258, 0.7544853845761358, 0.7515926122173369, 0.7471991085397948, 0.752733038377135, 0.7568629235274322, 0.7497080763011811]","[0.9505516127044079, 1.031992938004288, 0.9337004575074888, 0.9385563088398353, 0.9337225486250484, 0.9928027181064382, 0.9093131738550523, 0.9505023593996086, 0.9438424928515565, 0.9911962934568816, 0.8997915398840811, 0.9477652416509741, 0.903918932465946, 0.907068950288436, 0.9404256355528738, 0.9042932730095059, 0.9917960026684929, 0.9109365636227178, 0.9568938612937927, 0.9070764183998108, 0.9221689572521284, 0.9265280716559466, 0.9256928224189609, 0.9149085084597269, 0.9237138091349134, 0.9382921445603464, 0.9491883913675944, 0.8815785821746377, 0.9110275588783563, 0.9292172999943004, 0.9268059648719489, 0.9311531980832418, 0.9536172794360741, 0.949087499403486, 0.8916381714390773, 0.8966444602199629]",0.48168839230291743,0.47518610421836227,0.47688222933065255,0.6898914236837447,1.0018268681707836
2,"[1.0602354886510823, 1.0209836004063946, 1.010403924313936, 1.0127669486180275, 1.0030288206585702, 1.0097729101580144, 1.0097783428456815, 1.0103014370155754, 1.0066441575861187, 1.007663876737267, 1.0062170154722776, 1.0033874238640201, 1.0014122312289502, 1.0007798977622901, 1.0051218683499072, 1.005564345137138, 0.9912023048043777, 0.9894397466193212, 0.9875275596385485, 0.9903957578579234, 0.9880968502964742, 0.989015186673219, 0.9885784945561498, 0.9862587344278848, 0.9922100993505133]","[0.5630043451272502, 0.5779019242706394, 0.5661080074487895, 0.5195530726256983, 0.4903786468032278, 0.6132836747361887, 0.5735567970204841, 0.5872129112352577, 0.5276225946617008, 0.5952824332712601, 0.5145872129112352, 0.6269397889509621, 0.5462445685909373, 0.6182495344506518, 0.6350093109869647, 0.4909993792675357, 0.6108007448789572, 0.6288019863438857, 0.6201117318435754, 0.531967721911856, 0.6139044072004965, 0.5791433891992551, 0.6033519553072626, 0.62756052141527, 0.5797641216635631]","[0.353310325277419, 0.41422687583250445, 0.3909370862049648, 0.462660718054996, 0.47329842600314703, 0.48057597448145967, 0.4797811167442385, 0.5057776493124657, 0.3569330734243015, 0.4989994252249384, 0.47301946522874044, 0.5187250889894058, 0.504394804802552, 0.4936033416917213, 0.50552611815597, 0.4616415044235447, 0.5226145461168284, 0.49993721440432476, 0.5110287302685294, 0.48690498286260464, 0.4796517815679137, 0.5028057611215532, 0.5060207777933738, 0.5025608869333283]","[0.7007556585478684, 0.7071480704840987, 0.7018027477319709, 0.707408032145088, 0.737223109025502, 0.7305066047045772, 0.7352806313470247, 0.7394639417016892, 0.6993087207971923, 0.7424203937523196, 0.7307525151001656, 0.7400491306433334, 0.7398253409399004, 0.7441384922075399, 0.7435489123647206, 0.7358983301713528, 0.7528115053640878, 0.7477911660160425, 0.7572606552262053, 0.7478844981329672, 0.7420177743886317, 0.7488850663512402, 0.7483145197354354, 0.7453200028806025]","[0.9848427725773231, 0.9584494431813558, 0.9463529189427694, 0.9732309498038947, 0.9712276844417348, 0.9275305481518016, 0.9802900202134076, 0.9354735344064002, 0.9995333610796461, 0.9766048637090945, 0.9827754474153706, 0.9280654414027345, 0.948433540615381, 0.9259780329816482, 0.8864432327887591, 0.9784659731621835, 0.9195208713120105, 0.9052190698829352, 0.9180715855430154, 0.9685703597816766, 0.9168528680707894, 0.9282102888705683, 0.9172461769160103, 0.8987765721246308]",0.4903786468032278,0.47890818858560796,0.4741001892111858,0.6916360850811163,0.9815671737231906
3,"[1.0632354866565588, 1.0174531102968207, 1.0157303638132658, 1.010446395117806, 1.0077067163284654, 1.0117424080550408, 1.0092265377485805, 1.0066425940801393, 1.0037442583607157, 1.0035604632373423, 1.0013033640017068, 0.9997013711456685, 1.0016651597317094, 0.9977970473829345, 1.0054862576696841, 1.0079330346395265, 1.002085767259682, 0.9997005974668763, 0.9980403224277076, 0.9889794258556702, 0.9892754770060468, 0.9875879996673651, 0.9870612970532825, 0.9894319739898396, 0.9834211032821218, 0.9866762779620251, 0.9867351726025737, 0.9874173381780212]","[0.5965238981998758, 0.6238361266294227, 0.6045934202358784, 0.5990068280571074, 0.6058348851644941, 0.5505896958410925, 0.6095592799503414, 0.5201738050900062, 0.6443202979515829, 0.6151458721291123, 0.5493482309124768, 0.6337678460583489, 0.6139044072004965, 0.5760397268777157, 0.6232153941651148, 0.6182495344506518, 0.5921787709497207, 0.6058348851644941, 0.6194909993792675, 0.5623836126629422, 0.6306641837368094, 0.6312849162011173, 0.6232153941651148, 0.6163873370577281, 0.6002482929857231, 0.6256983240223464, 0.6207324643078833, 0.617008069522036]","[0.47893656263213913, 0.4254947247292245, 0.39657757203465044, 0.4475254878549559, 0.5005584919621434, 0.40840315896168344, 0.4461179848204462, 0.4797858155361798, 0.5070882095517433, 0.49848250798915056, 0.485292535301546, 0.4718547137254257, 0.5082952563851869, 0.5133797374353278, 0.5075473993150822, 0.4696592632925447, 0.464398281617874, 0.4370194147422622, 0.4934083643809381, 0.5083647030468478, 0.49325241498604533, 0.49345915590456796, 0.475830376066466, 0.5349149322112082, 0.5145153353328227, 0.5318158740771644, 0.5047273977695241]","[0.7362778926171604, 0.7331774257653193, 0.7046816575173035, 0.7456323988752023, 0.7561735966081627, 0.7324557984291203, 0.7406985722551646, 0.7540069102408156, 0.7634258006528348, 0.7511822869766296, 0.7469214090413789, 0.7414065305328944, 0.7496535930309051, 0.7484801635731814, 0.753927490607464, 0.7603101850455963, 0.7408841301032103, 0.7434164425903603, 0.7555202799025498, 0.7605420137928216, 0.7592366600942829, 0.762397020140359, 0.76300926765464, 0.7562909521071884, 0.7526166835492973, 0.7600806531463545, 0.7611623817937714]","[0.9546017214363697, 0.9376671396049798, 0.9359492227142933, 0.9199702061858832, 0.9108465559342328, 0.9967443089859158, 0.9340230273265465, 0.952755915183647, 0.8749347212267857, 0.9151974998268426, 0.9480507397184185, 0.9228233589845545, 0.9101392556639278, 0.9160392588260127, 0.9090178667330274, 0.9379841182746139, 0.9472869658002666, 0.8915988300360885, 0.9034145638054493, 0.9273979032740873, 0.901588032058641, 0.8971216526685977, 0.8790325767853681, 0.9222200302516713, 0.9347805263949376, 0.9058214613035613, 0.900242898978439]",0.5201738050900062,0.48535980148883373,0.4731954016950002,0.6869441868893046,0.9805976204455845
4,"[1.0717094665319384, 1.019663746005113, 1.0112821723658607, 1.0043961353238984, 1.002064932022851, 1.0074284794834742, 1.008554558134289, 1.0069127680184033, 1.0046565533997205, 1.0038942219402296, 1.003422995102038, 1.0032899685630714, 1.0024938734354951, 1.0021808280031061, 1.0045110975855773, 0.9902450367480122, 0.9915011867815178, 0.9886093718627476, 0.9917634795153194, 0.9876968764786153, 0.9871952101785181, 0.9864107227272925, 0.9892493587495997, 0.9882054195004938]","[0.5406579764121664, 0.5766604593420236, 0.6145251396648045, 0.47796399751707014, 0.5791433891992551, 0.6306641837368094, 0.5524518932340161, 0.521415270018622, 0.6256983240223464, 0.569211669770329, 0.5847299813780261, 0.5983860955927995, 0.585350713842334, 0.5394165114835506, 0.5586592178770949, 0.5896958410924892, 0.5685909373060211, 0.5592799503414029, 0.5865921787709497, 0.6039726877715704, 0.5934202358783365, 0.5450031036623215, 0.5183116076970825, 0.6374922408441962]","[0.44266189314792515, 0.3652520493455432, 0.4663196817726047, 0.46462297176681816, 0.4573373269431386, 0.4914035413339994, 0.3838526704110583, 0.42018072310193494, 0.45841366125007377, 0.5212920816054337, 0.4016193050617692, 0.4966150134097788, 0.46183998075931904, 0.4799354036785897, 0.4287942047915531, 0.48757734142852693, 0.5006171497571281, 0.47839558753828576, 0.47340259127609685, 0.4856547438889102, 0.47194796306141334, 0.458522793527764, 0.48830166249521084]","[0.7044992128416858, 0.7160301985373324, 0.738795460625505, 0.7305274487964026, 0.7285795256663349, 0.7089678617376096, 0.7089875423628911, 0.7158515685008018, 0.739860884585338, 0.7425004828153859, 0.7031254173637108, 0.7351393754519933, 0.737363275318078, 0.7260382401121453, 0.7189274983892572, 0.7473914869534779, 0.7481075558523756, 0.741125469348736, 0.7453314572986408, 0.7454580045743867, 0.7492191240450023, 0.7370152985079711, 0.7505213656137881]","[1.0208001405585045, 0.9734015827085457, 0.943117852304496, 0.9951730241962508, 0.974737190732769, 0.9452860752741495, 1.0028719644920498, 1.0031902497889948, 0.9115079898460239, 0.9552907207432915, 0.9547346853742412, 0.9459448363266739, 0.9690697906064052, 0.9991553086860507, 0.9699240093137703, 0.9454139190561631, 0.9513141629742641, 0.9745266145350886, 0.9433600037705665, 0.9299947923304988, 0.9522703383483139, 0.9650448841207168, 0.9730784215179145]",0.47796399751707014,0.46810622983370564,0.4700945566165677,0.676652455729498,1.00489228112357
5,"[1.0778068713679714, 1.0282841731798282, 1.0108270311670682, 1.0092562241438727, 1.010204331727805, 1.0141219582064036, 1.0026235353316504, 1.0085447371531162, 1.010242075384451, 1.0063636926564876, 1.004623705201212, 1.0025920061813052, 1.0009397102872706, 1.006377490606602, 1.001634878734135, 0.9919401815546767, 0.987121980620901, 0.9858737532787911, 0.9918713536819173, 0.9884165233977565, 0.9886263232136613, 0.9875705047851092, 0.9838316464214073, 0.9852876994053172]","[0.5611421477343265, 0.6505276225946617, 0.5077591558038486, 0.46306641837368095, 0.5512104283054003, 0.6517690875232774, 0.5884543761638734, 0.49844816883923027, 0.5276225946617008, 0.5189323401613904, 0.6083178150217257, 0.6182495344506518, 0.6343885785226567, 0.5859714463066419, 0.6157666045934203, 0.6101800124146493, 0.6108007448789572, 0.6095592799503414, 0.6145251396648045, 0.6058348851644941, 0.6027312228429547, 0.5865921787709497, 0.6412166356300435, 0.5921787709497207]","[0.4684699644009685, 0.47091231978417025, 0.34353224417651523, 0.4132188069888689, 0.4739993640455007, 0.4529934200820276, 0.501081492480563, 0.43106487509915553, 0.476679723564109, 0.46381145105939564, 0.478693550148564, 0.47401422747968275, 0.5063848070337308, 0.4997414239756702, 0.4896667432940532, 0.4797317758309621, 0.5009762512753142, 0.4827607269830956, 0.4816812833449402, 0.4947670598689499, 0.4647609397951935, 0.47362900557161075, 0.4626010523585693]","[0.7159325510862353, 0.735666044570699, 0.6957720584419205, 0.7187826174820954, 0.7300797102461271, 0.7362675674347354, 0.7389620331622332, 0.7213315188880861, 0.7401509072048768, 0.7307670442013339, 0.7436870417711628, 0.7435352667110989, 0.7549146615814711, 0.747667178144615, 0.7439333902118263, 0.749347730021548, 0.7521936116729692, 0.7479658168775541, 0.7458164949432047, 0.7552832461392217, 0.7561359385418965, 0.7483619595721202, 0.7525255096300459]","[0.954239106645771, 0.8988023038003959, 1.0605406059938318, 1.0216657273909624, 0.967856905039619, 0.9153971847365884, 0.944705937422958, 1.0142731760062424, 0.9821799444217308, 1.0000668016134524, 0.9147348287058812, 0.9423372009221245, 0.8796180661986855, 0.9219712229336009, 0.9157089181974822, 0.9143173238810371, 0.9192471141908684, 0.8935451297199025, 0.9136947989463806, 0.9080145616157382, 0.9485258962593827, 0.9310753322115132, 0.8814032299845826]",0.46306641837368095,0.4564408041697692,0.4176083858867358,0.6701651923233481,1.0070703597295851
6,"[1.0695171933867333, 1.0191715133872852, 1.0158240795135498, 1.0115707345996134, 1.0108161862726253, 1.0074145759779976, 1.0028151659713442, 1.0033988721570255, 1.0022671090086126, 1.0072932940485193, 1.0043642790044456, 1.005255273260209, 0.9999342409787199, 0.9903916727078643, 0.9878691844478052, 0.987591023749717, 0.9880898534463891, 0.9874832437164458, 0.9879064642647815, 0.984545653612078, 0.9836164351864534, 0.9853683481657558]","[0.6033519553072626, 0.4909993792675357, 0.6399751707014277, 0.6089385474860335, 0.612042209807573, 0.5512104283054003, 0.6225946617008069, 0.5803848541278709, 0.6095592799503414, 0.5667287399130975, 0.6070763500931099, 0.5822470515207946, 0.5679702048417132, 0.5983860955927995, 0.633147113594041, 0.617008069522036, 0.62756052141527, 0.6132836747361887, 0.5735567970204841, 0.590316573556797, 0.6039726877715704, 0.5996275605214153]","[0.48190352025874583, 0.46662784696738707, 0.43330986001601973, 0.4911934702967142, 0.45749017488147925, 0.509546001153606, 0.4863384008772694, 0.43723805099170016, 0.5283707923452172, 0.45164475070158544, 0.49728098683038674, 0.47117878152394876, 0.5179517766972898, 0.48165222524244006, 0.4524418425882855, 0.5046500663533336, 0.4699637760398991, 0.48435942115334485, 0.5289171323483718, 0.5095074264738525, 0.5206152233328148]","[0.7413569445076301, 0.7451810608314173, 0.7066891947113775, 0.7419245713977309, 0.7457567945470734, 0.7506853596417361, 0.7552079071921317, 0.737025671289814, 0.7530916546808913, 0.7241591194324924, 0.743175477347604, 0.737280349855201, 0.7508898581230304, 0.7462722187753515, 0.7477134178169195, 0.7531382895532509, 0.7541413969407413, 0.7494241795701285, 0.7636047966883023, 0.7544811451601926, 0.7637573153492921]","[0.9357462712362701, 0.9903506741804236, 0.9054188856891557, 0.9204549018074485, 0.9528091619996464, 0.9455263754900765, 0.909656375062232, 0.9736379758984435, 0.9302972718781116, 0.9784060517946879, 0.946284038179061, 0.9320906938291064, 0.9392951446421006, 0.9244352193439708, 0.8863884023591584, 0.9103495431881324, 0.9048541795973685, 0.9095793705360562, 0.9292807836158603, 0.9352567488071966, 0.9158136260275748]",0.4909993792675357,0.46774193548387094,0.45495421037448097,0.6800200901518695,0.9955259410161821
7,"[1.0714067856120644, 1.0194914838553526, 1.0105281956657963, 1.013117556661236, 1.0094853739381362, 1.008163522518679, 1.0100304371459894, 1.0090713745171804, 1.0037602129749263, 1.0047476051399886, 1.0036913496544708, 1.0041339310780495, 1.0066218918378134, 1.004907447729867, 1.0039904410355942, 1.00099310016317, 1.00476009283822, 1.0002705383930963, 0.9994099094216519, 1.0055363914777529, 0.9943260838019166, 0.9913930172174512, 0.9924400741570847, 0.9880156594488589, 0.9886799655559304, 0.9916157446768841, 0.9854111365547265, 0.9886637838138883, 0.9852603280071645]","[0.5779019242706394, 0.5704531346989448, 0.5896958410924892, 0.5704531346989448, 0.606455617628802, 0.638112973308504, 0.6294227188081937, 0.6207324643078833, 0.4748603351955307, 0.6176288019863438, 0.5332091868404718, 0.6449410304158908, 0.6517690875232774, 0.5847299813780261, 0.5884543761638734, 0.6021104903786468, 0.6021104903786468, 0.6480446927374302, 0.563625077591558, 0.6188702669149596, 0.6101800124146493, 0.6027312228429547, 0.5983860955927995, 0.6201117318435754, 0.617008069522036, 0.6021104903786468, 0.6163873370577281, 0.5921787709497207, 0.6207324643078833]","[0.4076594969556547, 0.4141459799996385, 0.4625033703114827, 0.4457763194763373, 0.4506820298472283, 0.4609175020207577, 0.4425884964355853, 0.4672062951409193, 0.44609990261615806, 0.4548468453975187, 0.4804707927237571, 0.45254699977279905, 0.4508678167127478, 0.47320834413568197, 0.49838753483715426, 0.5002754609090013, 0.508893474957393, 0.5134948575651208, 0.5145033050121636, 0.4554814506673163, 0.47792111493700457, 0.5104312989452894, 0.5224132039178295, 0.5106109891028615, 0.4682094220970825, 0.5144709894908648, 0.4880482787375762, 0.4891450435997282]","[0.7082933863294442, 0.7175301915293625, 0.7324651618702086, 0.7253096173403292, 0.7340231382796526, 0.7396383781657655, 0.7348912764958785, 0.7417103294768665, 0.7369571227910748, 0.7435861657519024, 0.744273329431247, 0.7338387332299173, 0.7363619966142302, 0.7310333944548564, 0.7445361110145847, 0.7385594527280284, 0.753283519007025, 0.7535101176181037, 0.7529618996552777, 0.738788053598955, 0.7483100524067359, 0.7549066312860443, 0.7508184274141803, 0.7571021081703981, 0.7452078852759064, 0.7546199408101564, 0.7499658702185478, 0.7504101434838879]","[0.9675773125068814, 0.9903330054937625, 0.9571265882136775, 0.9710327912779415, 0.9383001572945538, 0.8861175506722694, 0.9212901709126491, 0.9149897437469632, 1.0156042599210553, 0.9341989708881752, 0.9663653443841373, 0.8679083714298174, 0.8833126706235549, 0.9224967290373409, 0.9540849433225744, 0.9387338254965988, 0.9400903430639529, 0.9088819845049989, 0.9366038149478388, 0.9401372881496654, 0.9350669652807946, 0.9131569055949941, 0.9286234811240551, 0.9053643182212231, 0.9008485522924685, 0.9328585290441326, 0.9106972042252036, 0.9288074479383581]",0.4748603351955307,0.4491315136476427,0.427447620007216,0.683282214505431,1.0060313481187064
8,"[1.0734267367402888, 1.0257230798841048, 1.0160481633068708, 1.0095189254451953, 1.012035493152257, 1.0077730435631873, 1.0075013531199637, 1.0075619857479297, 1.0028774561073286, 1.0032087212617178, 1.002412437342337, 1.0024285744465395, 1.0054808551782028, 1.0066672409946174, 0.9995389415304041, 1.002010936122634, 0.9930334347197662, 0.9897287743994843, 0.9876327533028725, 0.9879665775183539, 0.9908290418759317, 0.9868800653234977, 0.9889752947548938, 0.9881521502780494, 0.9870627707584314]","[0.6256983240223464, 0.6350093109869647, 0.5580384854127871, 0.569211669770329, 0.37678460583488516, 0.6201117318435754, 0.5034140285536933, 0.6499068901303539, 0.5096213531967722, 0.5878336436995655, 0.611421477343265, 0.5592799503414029, 0.5623836126629422, 0.5921787709497207, 0.5872129112352577, 0.5170701427684667, 0.5983860955927995, 0.590316573556797, 0.6225946617008069, 0.5785226567349472, 0.45561762880198636, 0.6151458721291123, 0.6325263811297331, 0.553072625698324, 0.5716945996275605]","[0.4299281061276298, 0.42864970734065205, 0.43017429120312006, 0.502470271423239, 0.39128933449573794, 0.461135384809112, 0.4826393569144947, 0.4561791340912516, 0.46436718504677493, 0.4970864215019855, 0.40916849640247843, 0.4428086864786785, 0.425012364204489, 0.5069508230630052, 0.4769689483325574, 0.4861569500085173, 0.4701159417428728, 0.4918026138854463, 0.5032042022565065, 0.473401772787752, 0.4533302486327728, 0.4617292607280606, 0.48513287694108964, 0.48120135962753685]","[0.7016090692462092, 0.7019266521182637, 0.7162919969284852, 0.7334413352221786, 0.72258397145694, 0.7313393879179103, 0.7240806286884031, 0.7176227969662401, 0.727705759640398, 0.731413528936902, 0.7227861121741034, 0.701831862153341, 0.7180942035978076, 0.7317317794426659, 0.737749041857926, 0.7269041020611803, 0.7408940156981011, 0.74136714893899, 0.7508694923591183, 0.7448434400965089, 0.7409347820542244, 0.7401920033144823, 0.7481475337648987, 0.74334042581434]","[0.9266110062599182, 0.8944014380959904, 0.978721116103378, 0.9491902554736418, 1.016357726910535, 0.9114785650197197, 0.9729841526816873, 0.9048745152997035, 0.9811544546893999, 0.9555086996041092, 0.9343849350424374, 1.0018714082007314, 0.9634921059888952, 0.9419743535565395, 0.9499017245629254, 0.9633034187204698, 0.9427564938863119, 0.9518590417562747, 0.9094296787299362, 0.9451207518577576, 1.000002522094577, 0.9047606271855971, 0.8917041491059696, 0.9590035934074252]",0.37678460583488516,0.43325062034739453,0.43235446034861197,0.6846670718121359,0.9883973536983369
9,"[1.0654374694509128, 1.0198167206694901, 1.0061152422480646, 1.0050717761600596, 1.0051605910194077, 1.0022971895297719, 1.003728867890026, 1.0001389137448717, 1.0008939408783346, 1.0032516409384522, 1.0009680365413296, 0.9993084222734763, 0.9926912900109648, 0.9832192719770423, 0.9865762595300632, 0.9856453624590903, 0.9827806908916271, 0.9844346760653189, 0.9844241503314299, 0.9803210025579394, 0.9816320707882028, 0.979760539689253, 0.9808792196181377, 0.9835042575382451, 0.9807345538937573, 0.976699891069387, 0.9790187269317946, 0.976526192894066, 0.9719379595460346, 0.9725312366096984, 0.9727356326212442, 0.9670675136969478, 0.9717165362992476, 0.9720845965561887, 0.9697770207201332, 0.9710082514170508, 0.9733574956261639]","[0.5065176908752328, 0.6052141527001862, 0.5996275605214153, 0.6126629422718808, 0.5828677839851024, 0.6288019863438857, 0.5704531346989448, 0.6405959031657356, 0.6256983240223464, 0.5462445685909373, 0.6176288019863438, 0.563625077591558, 0.5996275605214153, 0.6014897579143389, 0.5468653010552452, 0.6126629422718808, 0.46989447548106766, 0.6039726877715704, 0.5915580384854128, 0.6070763500931099, 0.5704531346989448, 0.6033519553072626, 0.6151458721291123, 0.6319056486654252, 0.6256983240223464, 0.6182495344506518, 0.520794537554314, 0.638733705772812, 0.5468653010552452, 0.6176288019863438, 0.6052141527001862, 0.6350093109869647, 0.6188702669149596, 0.5561762880198634, 0.5921787709497207, 0.606455617628802, 0.611421477343265]","[0.38459242897686835, 0.5008924821456101, 0.5080057583496062, 0.48857189904715165, 0.4688910888106503, 0.47087628598085535, 0.493975301249195, 0.47896098492606165, 0.4332889061373843, 0.5112127228065507, 0.45658244883606325, 0.5065531814768139, 0.4513209703270115, 0.4354763527013239, 0.4840975045085348, 0.5009717921339546, 0.35031786821350397, 0.5284333459609524, 0.45711255767782594, 0.5004793536998949, 0.46026507899806113, 0.46529887888903954, 0.5298981569842017, 0.5252120218140621, 0.49247749821520315, 0.525591447348697, 0.46541438606800173, 0.5213680507195452, 0.4897849300175927, 0.5191350286029442, 0.4679264479001743, 0.4625333620294427, 0.503240138814983, 0.5043012069852093, 0.5195928617762791, 0.504246645029209]","[0.7009206111689429, 0.7386076349312399, 0.7136172016943353, 0.7370148337177747, 0.7151542443425689, 0.7261538706664107, 0.7407365318937164, 0.7434844238450223, 0.724597535818631, 0.7393756892411997, 0.7369845253370548, 0.7379872078968691, 0.7395629252499081, 0.7221669355080635, 0.7403381851746746, 0.7381476126607546, 0.698492364637583, 0.7481294764198195, 0.745939464416697, 0.7523914262137366, 0.7418640591301565, 0.7560622170077029, 0.7479891239239761, 0.753766636349623, 0.7515602006276666, 0.751872895178321, 0.7412593410603981, 0.7589691042114203, 0.7527824384925991, 0.758897480986246, 0.7542280374963825, 0.7565016924458039, 0.7581101742296669, 0.7535407218746532, 0.7577153550760886, 0.7602765963211554]","[1.0270230022131228, 0.9332241661408368, 0.9574702522333931, 0.9129121642486722, 0.9573273915870517, 0.9066803467039969, 0.9513514673008638, 0.8884770145603255, 0.9438408437897178, 0.9628864503374287, 0.8949685120115093, 0.9443598074071547, 0.9258569140060275, 0.9321330353325489, 0.9582349646325204, 0.9096541463160047, 1.0070076129015755, 0.9045204870841083, 0.9383028371661317, 0.8997989425472185, 0.9331167094847735, 0.9157537315406051, 0.9040252461152918, 0.901317391909805, 0.90254753594305, 0.9142889018152275, 0.9769215642237196, 0.8845755679934633, 0.9433536599664127, 0.8963843268506667, 0.9220079779624939, 0.8641757602785148, 0.8846948672743404, 0.9341260089593775, 0.9199539306117039, 0.9029568048084483]",0.46989447548106766,0.43757756267063785,0.3421380600233533,0.6561760706631464,1.0141371630486988
10,"[1.0663720962759682, 1.0180916345066962, 1.0214598501831424, 1.011800880474141, 1.0072800522333725, 1.0099199630878044, 1.0088536094726446, 1.0090045670318184, 1.0039513642829945, 1.0014055295137583, 1.0015814394940363, 1.0036238487071403, 1.0040970255624881, 1.0028802462348854, 1.0041917893329906, 0.9922715400546658, 0.9877240006619088, 0.9889733649560534, 0.9843082578959444, 0.9884082698611961, 0.9903967536756121, 0.9857546268318194, 0.9867907364725541, 0.9882702726362035]","[0.6461824953445066, 0.5822470515207946, 0.6083178150217257, 0.2383612662942272, 0.585350713842334, 0.5325884543761639, 0.553072625698324, 0.5766604593420236, 0.553072625698324, 0.5990068280571074, 0.5741775294847921, 0.5971446306641838, 0.5940409683426443, 0.49472377405338297, 0.5741775294847921, 0.5921787709497207, 0.595903165735568, 0.6045934202358784, 0.5257603972687771, 0.6176288019863438, 0.5859714463066419, 0.5896958410924892, 0.6033519553072626, 0.6021104903786468]","[0.45978533216265144, 0.4207270368606, 0.3985798901020481, 0.23918670542213247, 0.4493812059339454, 0.4892282658248465, 0.4139653088396807, 0.48426465664786184, 0.4307512142866581, 0.4614289504868206, 0.45676308138915256, 0.4645938545767565, 0.4867872105271047, 0.46656094536247683, 0.48941807844419233, 0.5046201892559857, 0.4655583998237303, 0.498961545116964, 0.479858975896947, 0.511317057035286, 0.48696661755669335, 0.48629522453416624, 0.514835621535381]","[0.7184889725311064, 0.7261170243752871, 0.7193390901148496, 0.7082126612173819, 0.7315195668927966, 0.7474933829608038, 0.7226059179487881, 0.7423981202039643, 0.7261394724825747, 0.7432732178304501, 0.7395109031539399, 0.749244198698325, 0.7438670858283422, 0.7432264918646018, 0.754785546903137, 0.7520170217722905, 0.7508616432858526, 0.7608848798945217, 0.7502358571805171, 0.7591408105973153, 0.7501018574096374, 0.7441173145004015, 0.7553775357484519]","[0.9264163386588004, 0.9725110133488973, 0.9297223114499858, 1.0957501542334462, 0.9428857938916075, 0.9491685138029211, 0.987139691324795, 0.9502503673235575, 0.9984007325826907, 0.9515584403393316, 0.9880032212126488, 0.9464459968548194, 0.9279057161480773, 0.9993613385686687, 0.9634065125502792, 0.9336851730066187, 0.9416000258688834, 0.9168685312364616, 0.9618563745536056, 0.9029343899558572, 0.933012395512824, 0.9315683304094801, 0.9305759282673106]",0.2383612662942272,0.3504591710101762,0.30067839353541376,0.6630531937729401,1.0417802021616982
