fold,train_losses,val_losses,val_accuracies,val_f1s,val_roc_aucs,best_val_loss,test_loss,test_acc,test_f1,test_roc_auc
1,"[1.0394449942962714, 0.9927894957527715, 0.9706184949381236, 0.9557466485951965, 0.9430752568570527, 0.9321067820299039, 0.9233983938914564, 0.9145437556478946, 0.9062647184086267, 0.8941280567435966, 0.8954191487528679, 0.8809091846585799, 0.8579627333233535, 0.8373233605061333, 0.8311094876690583, 0.8146451282343675, 0.8070204856637291, 0.8011267488485916, 0.792429597367274, 0.7830264191532975, 0.7831075824961263]","[0.5375543140906269, 0.5679702048417132, 0.5710738671632526, 0.6194909993792675, 0.6089385474860335, 0.5810055865921788, 0.6002482929857231, 0.6145251396648045, 0.5990068280571074, 0.5896958410924892, 0.595903165735568, 0.5561762880198634, 0.6027312228429547, 0.5996275605214153, 0.6139044072004965, 0.5990068280571074, 0.6250775915580384, 0.6294227188081937, 0.6182495344506518, 0.6139044072004965, 0.5822470515207946]","[0.43137335789909675, 0.5052653580657155, 0.4713564012554064, 0.5196711519136558, 0.5297630590984809, 0.5016285939947678, 0.5314937340707999, 0.5380658263844774, 0.5156473597355349, 0.521616789799359, 0.5242009479028601, 0.49511214947761223, 0.5303165065578299, 0.5158723130322225, 0.5348168089134328, 0.5292243570621715, 0.5425101536112279, 0.5346251252330813, 0.545693389510403, 0.5343470263009388]","[0.6991056105169653, 0.7215664129672286, 0.7306921739210974, 0.7304413273928089, 0.7373195862915617, 0.7297882380544344, 0.7393299384724848, 0.7404933456830255, 0.7418648163888775, 0.736449252196357, 0.7325505617724506, 0.7336459211260661, 0.7356474751377329, 0.7377177168059199, 0.7394058310842219, 0.7435046678829331, 0.7446789943989328, 0.7347660303266461, 0.738905883278222, 0.7424194703229504]","[1.0053447987519057, 0.9668078212177053, 0.9330935863887563, 0.9146212082283169, 0.9138781171219021, 0.9286023600428712, 0.9169963224261415, 0.8993078154676101, 0.8897454539934794, 0.9184317016134075, 0.9137265927651349, 0.948571454076206, 0.9207967753503837, 0.914789574987748, 0.904999313401241, 0.9281680081404892, 0.917277455329895, 0.9044832949544869, 0.9074512766856774, 0.9208424652324003]",0.5375543140906269,0.4826302729528536,0.421366602212661,0.6730973899490497,1.0043066986023435
2,"[1.0409320440586443, 0.9967635189909242, 0.9759356778623774, 0.9578183934026878, 0.943835793087661, 0.9332368477588183, 0.918494893722072, 0.9141831458402625, 0.9075463735847221, 0.9000588314123615, 0.8872618895795377, 0.8772830814779593, 0.8751152269378107, 0.8640035386915249, 0.8297775083176365, 0.8165939515907858, 0.8099683137192075, 0.8029691335388217, 0.7911700909620865, 0.7825979197209102, 0.77834540960022, 0.7767427334570149, 0.7675695519090224]","[0.5785226567349472, 0.5313469894475481, 0.5294847920546245, 0.5518311607697083, 0.5927995034140285, 0.5940409683426443, 0.6045934202358784, 0.6095592799503414, 0.5654872749844817, 0.5716945996275605, 0.595903165735568, 0.5952824332712601, 0.6089385474860335, 0.5878336436995655, 0.5896958410924892, 0.590937306021105, 0.5754189944134078, 0.5983860955927995, 0.5971446306641838, 0.6151458721291123, 0.5735567970204841, 0.5952824332712601, 0.5766604593420236]","[0.48671899804322344, 0.47961669849488997, 0.4686815355127509, 0.5094483709765899, 0.5050989857289024, 0.5240934868923125, 0.5208985417790761, 0.52594922257173, 0.5068550420649657, 0.5102982413493503, 0.5221563904770011, 0.5322383987763385, 0.5205623889478085, 0.5140025453110456, 0.5145364892135657, 0.5243426572518693, 0.5106940012831941, 0.5244775043266866, 0.5207944195897096, 0.5234124368743979, 0.5145363817102293, 0.5210683660558061]","[0.7050629028135006, 0.7190623482834736, 0.720471406651681, 0.7270813673676152, 0.7391432545862232, 0.7348602518869941, 0.7274005667974354, 0.7307808000359536, 0.7285157879078811, 0.727872793293448, 0.733129211184841, 0.7361667767502369, 0.7343390724656834, 0.7251410586692599, 0.7292388333693384, 0.7271463628334844, 0.7252403544282723, 0.7293862558347867, 0.7249390319586467, 0.7272368689136811, 0.7320430167177691, 0.7250251748494702]","[0.9805372684609657, 0.9824905792872111, 0.9732348778668571, 0.9617415432836495, 0.9025668583664239, 0.9158913528217989, 0.9073858728595808, 0.891465634691949, 0.9203347797487297, 0.9354954245043736, 0.9163424840160445, 0.9355228952333039, 0.8813979672450646, 0.9398495893852383, 0.9161036482044295, 0.9365822567659265, 0.9579672509548711, 0.9195778136159859, 0.9315210814569511, 0.9232788494988984, 0.9535654596253937, 0.9355915451751036]",0.5294847920546245,0.5168734491315137,0.4969761592901785,0.7038978129246919,0.9683878104838114
3,"[1.0378636909476462, 0.99664346328916, 0.9713886251533609, 0.9558672885275097, 0.939519516697014, 0.9292093708389131, 0.9178599327933946, 0.9097878749150011, 0.8998169308191879, 0.8944429577972395, 0.8860982739190173, 0.8788531971397904, 0.8445325197102215, 0.8365348868958226, 0.8287335875801053, 0.8176028095678086, 0.8109542695961335, 0.805455260602388, 0.792702067659815, 0.7899995836129797, 0.7791509030280134]","[0.5450031036623215, 0.590937306021105, 0.6052141527001862, 0.606455617628802, 0.6027312228429547, 0.5574177529484792, 0.6132836747361887, 0.6045934202358784, 0.6213531967721911, 0.5983860955927995, 0.6163873370577281, 0.612042209807573, 0.6294227188081937, 0.590316573556797, 0.617008069522036, 0.6263190564866542, 0.6225946617008069, 0.5977653631284916, 0.5927995034140285, 0.612042209807573, 0.6238361266294227]","[0.4371191037417493, 0.47581847309403097, 0.5223763146695881, 0.5022198270251663, 0.5220220698532028, 0.5020505112965368, 0.5404024477894868, 0.5032180855812122, 0.5303464178401658, 0.5143154113134989, 0.5240789505561193, 0.5383365752804935, 0.5402590224765598, 0.5069236549296591, 0.5350723590150092, 0.5318596797998543, 0.5374210561753712, 0.5376186290806615, 0.5196387114508084, 0.535198932307846]","[0.7019633065963932, 0.7303522965586672, 0.743015579009915, 0.7470238804543287, 0.7456468107316317, 0.7391176706227139, 0.744265662853505, 0.7390945527379392, 0.7446422897851782, 0.7511568673819222, 0.7468107869005841, 0.749571880627648, 0.7527157535029098, 0.7431355503561411, 0.7420349628405013, 0.7472474283713452, 0.7514034393883451, 0.7505952220448618, 0.7379040436096264, 0.7442662039663608]","[0.9631704559513167, 0.9167755468218934, 0.9147896065431482, 0.9027894992454379, 0.9026887557085823, 0.9369077308505189, 0.9049918008785621, 0.9104054266331243, 0.8839607238769531, 0.8871637430845523, 0.8803536751691032, 0.8962047964918847, 0.8733864473361596, 0.9075800028501773, 0.8829229053329019, 0.8801097484195933, 0.8863332622191485, 0.9266001126345467, 0.915253224326115, 0.9135030262610492]",0.5450031036623215,0.4781637717121588,0.4337437638334583,0.6565690841362586,1.0025845378164262
4,"[1.0389903708964192, 0.9953708179984324, 0.9752323796833139, 0.9571369748546164, 0.9494127833370595, 0.9378133681377125, 0.9228833488430745, 0.9170743150858102, 0.908263561484047, 0.9011815378056749, 0.8898741341634994, 0.8785279177884173, 0.850579884477649, 0.8358438666171439, 0.825037321986606, 0.8203191452614537, 0.8115116993236121, 0.8079476493045622, 0.798213021739464, 0.7909819997748614, 0.7897464379602592]","[0.5418994413407822, 0.6263190564866542, 0.5996275605214153, 0.5797641216635631, 0.595903165735568, 0.5828677839851024, 0.590937306021105, 0.5940409683426443, 0.5965238981998758, 0.5729360645561763, 0.5729360645561763, 0.5859714463066419, 0.5828677839851024, 0.5872129112352577, 0.5723153320918684, 0.590316573556797, 0.5890751086281812, 0.6108007448789572, 0.5878336436995655, 0.5890751086281812, 0.5847299813780261]","[0.4368163287361783, 0.47286813537901545, 0.4967792942614759, 0.4838328579983613, 0.4843399237925503, 0.5111904910556343, 0.5026421029101136, 0.49754381440841167, 0.5097039915763919, 0.47953557848590583, 0.49514212509393696, 0.4818318724747355, 0.4962876508309056, 0.5082131182317436, 0.5036417956736517, 0.5161327647663145, 0.5144531315815956, 0.5147797155596766, 0.49838720863565866, 0.5097018584634264]","[0.6969406352378787, 0.7170952121202894, 0.7307839638399054, 0.7307218688194704, 0.735962547017496, 0.7322356280834335, 0.7318143841995505, 0.7313804790541983, 0.7421763312404622, 0.7295046014019201, 0.7264795033490278, 0.7254268304003966, 0.7278827225302716, 0.7330891517561776, 0.7280886635068695, 0.7273888094434234, 0.7355083969779069, 0.7325080136483608, 0.7277081161276051, 0.7183668498865722]","[0.9793868392121559, 0.9325589233753728, 0.9311085121304381, 0.9469078603912803, 0.909767796011532, 0.9409018544589772, 0.9088018267762428, 0.91214034019732, 0.9146756833674861, 0.9151854398203831, 0.9273863960714901, 0.9035358417267892, 0.9218425154685974, 0.9298696342636558, 0.9514890523517833, 0.9448686475847282, 0.9247961032624338, 0.9000294173465055, 0.9138024379225338, 0.9468893338652218]",0.5418994413407822,0.49441548771407295,0.459765263000046,0.6570150395487464,1.0051686943523468
5,"[1.0447604165203246, 0.997915776027982, 0.9732409967724972, 0.9576519813043955, 0.9450215596196935, 0.9355350701294282, 0.9214494532950649, 0.9136932167975388, 0.9035999093549367, 0.8991056108264671, 0.8902942433231202, 0.8826529700062874, 0.8769363946063928, 0.8716741743854489, 0.8637354695586906, 0.8512209999141189, 0.8463025654990243, 0.8375375114611067, 0.8305808169201082, 0.823114743448039, 0.8173286904322419, 0.8113265473411997, 0.8055482890112284, 0.7669051402465887, 0.7571947254273335, 0.7442275591621315, 0.7326233517624733, 0.7342135370565406, 0.7230687236602086, 0.7150031883548534, 0.7136520911418394, 0.7033906571140374]","[0.5934202358783365, 0.5729360645561763, 0.5772811918063314, 0.5816263190564867, 0.6194909993792675, 0.6269397889509621, 0.6108007448789572, 0.5747982619490999, 0.6108007448789572, 0.6014897579143389, 0.6014897579143389, 0.5555555555555556, 0.6052141527001862, 0.612042209807573, 0.5977653631284916, 0.6021104903786468, 0.6021104903786468, 0.585350713842334, 0.5716945996275605, 0.563625077591558, 0.6250775915580384, 0.5716945996275605, 0.5872129112352577, 0.5965238981998758, 0.6045934202358784, 0.6033519553072626, 0.6232153941651148, 0.6126629422718808, 0.5729360645561763, 0.590316573556797, 0.5630043451272502, 0.5704531346989448]","[0.47789172783182643, 0.470716041466075, 0.49530920572363407, 0.4783821713800153, 0.5214418002579565, 0.5190937159184397, 0.5111066545878183, 0.519800923243264, 0.5240499414867926, 0.5301597225237321, 0.5318464929040393, 0.47400751940987346, 0.5249598252325752, 0.5369691131980561, 0.5225430015506352, 0.501029685278004, 0.5335857117747764, 0.5181947256058496, 0.5188453188453188, 0.5024909276632293, 0.5187493894288809, 0.507345485419051, 0.5220519307157664, 0.5153827498694389, 0.5362854275805208, 0.52664222668076, 0.5359978487638063, 0.5291803954892438, 0.512530741902142, 0.5183162553734689, 0.5013715239792322]","[0.6920638786972235, 0.7167524119078807, 0.7158858811325391, 0.7292285072718093, 0.7410205467313413, 0.7384195685890668, 0.7356174584834462, 0.7428683270688953, 0.7296746566030919, 0.7366534241637419, 0.740650225983258, 0.7344905885378279, 0.7423190718482857, 0.7446084364148171, 0.7413028443974078, 0.7319709485535216, 0.7453159989949443, 0.7395337804551815, 0.7359842438729306, 0.7380247385717413, 0.7363367086441411, 0.7318465349921932, 0.7403055719218017, 0.7271257197287752, 0.7353669562785319, 0.735319603099596, 0.7312583632235398, 0.7284244353110209, 0.7256043636756525, 0.7267397025119946, 0.7195614243730913]","[0.9832147827335432, 0.9610979241483352, 0.9660403237623327, 0.9241123526704078, 0.8948902908493491, 0.882894309128032, 0.9200195307825126, 0.9449974707528657, 0.906915173811071, 0.9293830698611689, 0.9147237749660716, 0.94688840824015, 0.9071049070825764, 0.9031260726498622, 0.9187874233021456, 0.8973811467488607, 0.9353378099553725, 0.9237992447965285, 0.966506887884701, 0.9455942184317345, 0.883883651565103, 0.9581567948939753, 0.9547766528877557, 0.9375077474351022, 0.9605722193624459, 0.9563557891284719, 0.9173725358411378, 0.9558632175127665, 1.036688351163677, 0.9741843588211957, 1.0447736803223104]",0.5555555555555556,0.5289153636138,0.4997280540620214,0.7219946741057123,0.9557061682617853
6,"[1.0442319698795872, 0.9993492037976891, 0.9745541318660266, 0.9572887920860677, 0.9467773306212236, 0.9373202355422637, 0.9238266940946621, 0.915181964110698, 0.9073722867976202, 0.9007673570763172, 0.8889449865019794, 0.884440460656708, 0.8756972501456475, 0.8364324498806756, 0.8315289977626128, 0.8146907319581456, 0.8079965427058384, 0.8038780638037274, 0.7989431302584216, 0.7841328288621314, 0.7826634883749327, 0.7760481021740363]","[0.5890751086281812, 0.5685909373060211, 0.5971446306641838, 0.5872129112352577, 0.6312849162011173, 0.6163873370577281, 0.6076970825574177, 0.6157666045934203, 0.5983860955927995, 0.6126629422718808, 0.590937306021105, 0.6021104903786468, 0.6157666045934203, 0.6288019863438857, 0.6108007448789572, 0.611421477343265, 0.6089385474860335, 0.5896958410924892, 0.611421477343265, 0.6083178150217257, 0.6207324643078833, 0.6157666045934203]","[0.49333059936515616, 0.45917551852794136, 0.5046402765268295, 0.5027964860131783, 0.5324236133947959, 0.5456706193611169, 0.5346623182198808, 0.5180877133528649, 0.5311396403444985, 0.5040026272658217, 0.501321008824663, 0.5170681142239139, 0.5186876174804618, 0.5519488389271842, 0.5344585024522345, 0.5419843923773131, 0.5403174011859594, 0.5083569375592688, 0.5322921838401281, 0.546206260932943, 0.5351568654350224]","[0.7056118931956812, 0.729234455799156, 0.7306515603914306, 0.7343540136715668, 0.7500727213460369, 0.7513059719798094, 0.7460743021172265, 0.7398213875260667, 0.7503221301254008, 0.7392063274950088, 0.741732808638151, 0.748126593826192, 0.7456398371778302, 0.7524285609951592, 0.7540152040639557, 0.749154618392175, 0.7578476704919045, 0.739424307970903, 0.7464950324692583, 0.7511407708633979, 0.7492581490513341]","[0.983807362762152, 0.9606331236222211, 0.9276597908898896, 0.9342620220838809, 0.893059278235716, 0.9139693017099418, 0.918296380370271, 0.8877658762183844, 0.9045703773405037, 0.8970049549551571, 0.9083212368628558, 0.9108459201513552, 0.8916141963472554, 0.910039577998367, 0.9111151005707535, 0.9197918328584409, 0.9108953639572742, 0.9198193176119935, 0.9138103413815591, 0.9436433467210508, 0.9010532872349608]",0.5685909373060211,0.4955334987593052,0.43648749902493084,0.6968186398986592,0.9802134207316807
7,"[1.0429556304137613, 0.9959996653810996, 0.9772497942006535, 0.9580763406427947, 0.9468183144598805, 0.9315775631545399, 0.9233695984149294, 0.9149377048015594, 0.9064054789784721, 0.8946560655396415, 0.8868107534452682, 0.8696018291990137, 0.8478833119249554, 0.8368189055226448, 0.825527412644567, 0.8195418410889378, 0.8091105525976761, 0.792956108038646, 0.7887528020117252, 0.783927960148992, 0.7782246738278393]","[0.5183116076970825, 0.5735567970204841, 0.5841092489137182, 0.5586592178770949, 0.6157666045934203, 0.6288019863438857, 0.6337678460583489, 0.6244568590937306, 0.5810055865921788, 0.6070763500931099, 0.617008069522036, 0.6132836747361887, 0.6052141527001862, 0.6300434512725015, 0.6108007448789572, 0.6101800124146493, 0.6052141527001862, 0.6076970825574177, 0.5927995034140285, 0.6002482929857231, 0.5747982619490999]","[0.46036855222114387, 0.46486514905376386, 0.5040210627480909, 0.49558880432916014, 0.5234482351746879, 0.5381399756036482, 0.542466203896084, 0.5196900676177544, 0.5280106627903226, 0.5319836448599838, 0.5020284020107456, 0.5202263163163794, 0.538267161013889, 0.5431342774805232, 0.5416939911345284, 0.5398799933839156, 0.5371257210222389, 0.5245633157739459, 0.5238072236560886, 0.5364210975568642]","[0.7026679086495932, 0.722960066101796, 0.7422558186506901, 0.7376997451114815, 0.7412847169101049, 0.7511768933774556, 0.7495967909404099, 0.7449221132239529, 0.7466616865539549, 0.7444797410708318, 0.7462673625332629, 0.7469323264617392, 0.7546866637646019, 0.7558563140800452, 0.755747431027606, 0.7512957838330138, 0.7504299885707683, 0.7425243594800205, 0.7339129445721247, 0.7406149450060342]","[1.0100715452549505, 0.9380139252718758, 0.9288424276838115, 0.9269050125982247, 0.8937922646017635, 0.8827361055448943, 0.8926934132388994, 0.8703361071792304, 0.9319415828760933, 0.9094704892121109, 0.8697510665538264, 0.8898610309058544, 0.9214501965279672, 0.8684432868864022, 0.9078319797328874, 0.9096911479445065, 0.9027546737708297, 0.8980688417659086, 0.9241937211915559, 0.9261777810021943]",0.5183116076970825,0.4682382133995037,0.4483700941574417,0.6770782735084012,1.0054630097888766
8,"[1.0380630915910662, 0.9918594113530567, 0.9715581911776034, 0.9539290657390057, 0.9452866628306553, 0.93451069813993, 0.9216015281131089, 0.9178798778991867, 0.9053118049048117, 0.8968536824906975, 0.8909358211550944, 0.8780027310228558, 0.8753840572770997, 0.8655407766151008, 0.8622664240750972, 0.8517897680467446, 0.8385706203887116, 0.8353612899517698, 0.80390486160564, 0.7879790390640629, 0.7796678614642651, 0.7697137742578195, 0.7656257530666133, 0.7601904028837901, 0.755928501092915, 0.7475864363399372, 0.7461663855461297]","[0.5983860955927995, 0.6033519553072626, 0.5729360645561763, 0.5803848541278709, 0.5859714463066419, 0.5859714463066419, 0.5325884543761639, 0.5940409683426443, 0.5760397268777157, 0.5698324022346368, 0.5996275605214153, 0.5505896958410925, 0.6052141527001862, 0.5549348230912476, 0.5772811918063314, 0.6039726877715704, 0.6045934202358784, 0.6288019863438857, 0.5847299813780261, 0.5884543761638734, 0.6021104903786468, 0.5934202358783365, 0.585350713842334, 0.5797641216635631, 0.6008690254500311, 0.5791433891992551, 0.5723153320918684]","[0.4736748793385581, 0.4874859039125377, 0.4843536605714693, 0.4819770189015304, 0.48841003960840484, 0.5019061270095123, 0.48934894098780884, 0.5186344131947715, 0.5143296996895277, 0.48658000537214696, 0.5089862577621864, 0.450324604150041, 0.5176670511562411, 0.49493215188303563, 0.5037514671476375, 0.515684776419178, 0.5218681072969915, 0.5328511571583777, 0.5155724243303311, 0.524593694356848, 0.5245077337959975, 0.530771532206939, 0.5157291015813271, 0.5040068277150183, 0.5210242396938521, 0.5166006348459666]","[0.6944951135469739, 0.7088043167780138, 0.721363652259269, 0.7285637535332935, 0.7210357545402312, 0.7342147574942336, 0.7307321664697518, 0.730165522772217, 0.7390893023350729, 0.7308317343660273, 0.737001634962513, 0.7160180584051282, 0.7391727914345809, 0.7362422817690897, 0.7314792028696221, 0.7258087724763683, 0.73219588828723, 0.7356174948974413, 0.737608190591351, 0.739147611524884, 0.7358840397578769, 0.7409055356575731, 0.7276840551709854, 0.7279334626623654, 0.7276612613916331, 0.7299588429347642]","[0.9585480316012513, 0.950852327487048, 0.9367901402361253, 0.9255247209586349, 0.9268108594651315, 0.9304307640767565, 0.9695179310499453, 0.9362369308284685, 0.929403728129817, 0.918295797179727, 0.9018780857908959, 0.9512110107085284, 0.9049841434347863, 0.957743013606352, 0.9266811843011894, 0.9090916981884077, 0.9131880087011001, 0.881026920150308, 0.917052332092734, 0.9362640030243817, 0.94240428536546, 0.9293786579487371, 0.9474291474211449, 0.94824211620817, 0.9622155135753108, 0.9822928893799875]",0.5325884543761639,0.5205955334987593,0.5221267835929919,0.7138090333160557,0.9613342649406857
9,"[1.0420794942568052, 0.9929724980293392, 0.970837511548912, 0.9563091289629495, 0.9393395118513822, 0.9277075322976721, 0.9208830776193594, 0.9062619641226294, 0.8996371013740085, 0.8881655745044154, 0.8914623775146081, 0.8750807900260723, 0.8732772508906897, 0.85814513036333, 0.8538958021985277, 0.8468734889828686, 0.8442480104610258, 0.8332242928937669, 0.8272803488150567, 0.817262912899387, 0.8150105603728526, 0.8102991419479185, 0.8013434092378826, 0.7954647617193046, 0.7874969128470064, 0.7758074923365127, 0.7791510702229807, 0.770034659145162, 0.7670848039409662, 0.7656058809568178, 0.7145954787993746, 0.702340404302013, 0.7016298610733469, 0.680367529654818, 0.6854355161935748, 0.6740459018604346, 0.6755925748448015, 0.6692584956532533, 0.664648771089079, 0.6536119442416708, 0.6630862758942112, 0.6471790016879069, 0.6479990797420956, 0.6451618869005321, 0.6396119360225316, 0.6456943650602769, 0.6317065546559867, 0.6314393765732055, 0.6253881083579841, 0.6273512188427248, 0.6254995760676094, 0.5871328567093165, 0.5828181242627719, 0.5783812679383198, 0.5715005922947686, 0.5739259506506017, 0.5647197212810559, 0.5704835191172125, 0.566191742533104, 0.5606251790594424]","[0.5723153320918684, 0.5729360645561763, 0.611421477343265, 0.6188702669149596, 0.6288019863438857, 0.5785226567349472, 0.5940409683426443, 0.5735567970204841, 0.5983860955927995, 0.563625077591558, 0.6288019863438857, 0.6058348851644941, 0.6182495344506518, 0.5946617008069522, 0.5996275605214153, 0.5772811918063314, 0.6008690254500311, 0.5735567970204841, 0.5630043451272502, 0.5642458100558659, 0.5990068280571074, 0.6058348851644941, 0.6045934202358784, 0.5890751086281812, 0.590316573556797, 0.5946617008069522, 0.5741775294847921, 0.5766604593420236, 0.5878336436995655, 0.5965238981998758, 0.6213531967721911, 0.5816263190564867, 0.5878336436995655, 0.5921787709497207, 0.5803848541278709, 0.5965238981998758, 0.5990068280571074, 0.6052141527001862, 0.5623836126629422, 0.5611421477343265, 0.5890751086281812, 0.5878336436995655, 0.5890751086281812, 0.5785226567349472, 0.5816263190564867, 0.5946617008069522, 0.5642458100558659, 0.5760397268777157, 0.6052141527001862, 0.6021104903786468, 0.5915580384854128, 0.5810055865921788, 0.5710738671632526, 0.5847299813780261, 0.590316573556797, 0.5878336436995655, 0.5797641216635631, 0.5822470515207946, 0.5847299813780261, 0.6027312228429547]","[0.4673101355938745, 0.4897768380216772, 0.5235156357882735, 0.5275532712078794, 0.519660588144006, 0.49946991989661355, 0.49737395393179423, 0.48298568511185364, 0.48987592544733266, 0.5191034812762715, 0.5436615942440767, 0.5087396304201285, 0.5324564996977482, 0.5156205217795881, 0.5128366329024224, 0.5189731387563857, 0.5333749270679604, 0.5108178901373013, 0.5109256927956539, 0.5101673980853992, 0.5280883301955459, 0.5352150912976522, 0.5337968405624615, 0.5022079840311863, 0.5243673332562672, 0.5273643480289917, 0.5082353082609784, 0.5232310136394263, 0.5199985543144224, 0.5179970210419209, 0.5359652765622515, 0.511860652055514, 0.5145172530048899, 0.5135671218271075, 0.5197563528846353, 0.5202744160423339, 0.5123478059841537, 0.5273773838711024, 0.5048637685552548, 0.49987070549388307, 0.5222546129568384, 0.5143778338262011, 0.5190021384496624, 0.5199599812879439, 0.5156167230267515, 0.5216952156973956, 0.5061533319593581, 0.5150129679077492, 0.5296496220922627, 0.5330296282248707, 0.5176600074325418, 0.5202471795272695, 0.5147268129266444, 0.5170787620190838, 0.517886163067771, 0.5159661491894889, 0.5165634074247692, 0.5132295251213813, 0.5121409554659538]","[0.7018966750120489, 0.7186457887301879, 0.7308274382248509, 0.7305135248293274, 0.7300147078657598, 0.7381410242062264, 0.7342468501110561, 0.7284201232134692, 0.7350474120464682, 0.7460751200696453, 0.7491765305446362, 0.7359721402718113, 0.7408358162480663, 0.7380861521387878, 0.7416144407316537, 0.7439060139356717, 0.7420013005793304, 0.7341177083809595, 0.7376706549140642, 0.7336191744810744, 0.7353003675146635, 0.7338578329968252, 0.7427923202684376, 0.7215809202821983, 0.7350414103990811, 0.7255817531634832, 0.721759312574374, 0.7345039561637657, 0.7286142936471937, 0.7314634945501282, 0.73344076312283, 0.7300678075052929, 0.7285175287812417, 0.7216513396963252, 0.7300974561519319, 0.7287364727826727, 0.7249696235343301, 0.7264004729163996, 0.7168746706054779, 0.7216604692870501, 0.7225723125006184, 0.7179806856118617, 0.7182290018655615, 0.7250262388940523, 0.7228964569085302, 0.7230071643214792, 0.7226042380972232, 0.7149828145514445, 0.7189485740765726, 0.717397698584132, 0.7116071557339376, 0.719292040369672, 0.7157616253992432, 0.7167104924012833, 0.7164280703032917, 0.7149937665047957, 0.7139891120133735, 0.7147844746398322, 0.7106357738983832]","[0.9618299696959701, 0.9633366827871285, 0.9215169852855158, 0.9195287917174545, 0.8996632964003319, 0.9053197549838646, 0.9027505107954437, 0.9248314955655266, 0.9037882019491756, 0.9536036743837244, 0.8965032661662382, 0.8799327962538775, 0.8918499233675938, 0.8940854142693913, 0.8926223364530825, 0.9413503069503635, 0.9145759168793174, 0.959935862644046, 0.9429374676124722, 0.9569764464509254, 0.9406777702125848, 0.9264344210718193, 0.9068774534206764, 0.9314053163808935, 0.9362684792163325, 0.926837168487848, 0.9677976626975864, 0.9625526456271901, 0.955735794469422, 0.9456110105795019, 0.9435897545487273, 0.9730009027555877, 0.9800186905206418, 1.0069152923191296, 0.9979121638279335, 1.0082785685857136, 0.9790528708813238, 0.9915379192314896, 1.045765341496935, 1.0211898252075793, 0.9982032881063574, 1.0624978378707288, 1.0546610705992754, 1.0669285152472703, 1.0375959060940088, 1.0333441554331313, 1.0892331062578688, 1.0986000428012772, 1.0626165995410843, 1.0714808164858352, 1.064956309748631, 1.0922214879709131, 1.148424250238082, 1.1253508212519627, 1.1063803130505132, 1.0893894048298107, 1.1671109035903333, 1.1169814864794414, 1.1312026492520875]",0.5611421477343265,0.5244477537850584,0.5159145392607194,0.7001740919030636,1.095407058795293
10,"[1.0420699995257257, 0.9990002628465056, 0.9786007741736945, 0.9612230256790631, 0.9499847505586263, 0.9344410541824307, 0.924953428133994, 0.9161124498571068, 0.9071880321670734, 0.9011244340615125, 0.8851279938010918, 0.8829511595717611, 0.8545294725684868, 0.843210794064442, 0.8331934455207791, 0.8237878097967954, 0.8158521544565713, 0.8052839400484698, 0.8051898119733197, 0.7945759008897033, 0.7940668010107746]","[0.5381750465549349, 0.5952824332712601, 0.5654872749844817, 0.5828677839851024, 0.5654872749844817, 0.5884543761638734, 0.6058348851644941, 0.6201117318435754, 0.5965238981998758, 0.5741775294847921, 0.5884543761638734, 0.6132836747361887, 0.6027312228429547, 0.5865921787709497, 0.6058348851644941, 0.6027312228429547, 0.6207324643078833, 0.6039726877715704, 0.5729360645561763, 0.5983860955927995, 0.5859714463066419]","[0.42178839979341204, 0.49862696032148124, 0.49845906495633513, 0.5093240346484734, 0.49323153923934254, 0.5051883375358047, 0.5182829186731658, 0.5126175098128006, 0.5194170654817073, 0.49094400882908196, 0.5146529219256274, 0.5364004553388412, 0.5336920245348392, 0.5073977682719761, 0.5301288713239121, 0.5252852418286724, 0.5307955900997455, 0.526589671645187, 0.5203364752114802, 0.5220860679738583]","[0.6963333839170535, 0.7193899794464903, 0.7195588215773089, 0.7298652790638193, 0.7197365505165475, 0.7337662535709665, 0.739362288256304, 0.7351835295373556, 0.7350367354637953, 0.7254930914695127, 0.7471006990734729, 0.7394168470679467, 0.741332359104744, 0.738740741837273, 0.7441772738121101, 0.742058978584852, 0.7361161133672391, 0.7269460749364972, 0.734784397459806, 0.7362001958552743]","[0.9869567179212383, 0.951366059920367, 0.9553562262478996, 0.9558180851094863, 0.9603282622262543, 0.9384238182329664, 0.9144095661593419, 0.8906474884818582, 0.9220902405533136, 0.9287346730045244, 0.9154488467702678, 0.928604033647799, 0.9185135621650546, 0.9211993322652929, 0.9126109200365403, 0.908326617642945, 0.8983606696128845, 0.920295981799855, 0.9662747733733233, 0.9214213864476073]",0.5381750465549349,0.48498386696450735,0.42010062791521524,0.6708906523017064,0.9937728704914214
