fold,train_losses,val_losses,val_accuracies,val_f1s,val_roc_aucs,best_val_loss,test_loss,test_acc,test_f1,test_roc_auc
1,"[1.038957838970134, 0.9839801773888424, 0.9617592104206001, 0.936353681633651, 0.9226732662333266, 0.9065011876270109, 0.9026911588229797, 0.8850800024780408, 0.8727980724777944, 0.8634936439308301, 0.8533251781820725, 0.8481223119775629, 0.8291462196390009, 0.8265602480997598, 0.7806641773242783, 0.7623708429315542, 0.7477903337205559, 0.7333558055403999, 0.7187931115538013, 0.7104714299482396, 0.6985990001372829, 0.6879857721439017, 0.6771584318597936]","[0.5779019242706394, 0.6213531967721911, 0.5418994413407822, 0.6021104903786468, 0.6188702669149596, 0.6424581005586593, 0.6002482929857231, 0.6089385474860335, 0.5574177529484792, 0.6039726877715704, 0.6052141527001862, 0.5859714463066419, 0.6002482929857231, 0.6194909993792675, 0.6108007448789572, 0.6145251396648045, 0.6263190564866542, 0.590316573556797, 0.5747982619490999, 0.6294227188081937, 0.6095592799503414, 0.5896958410924892, 0.6083178150217257]","[0.4836365672301639, 0.5313689163138368, 0.5076361206846624, 0.5374889099703184, 0.5272424649371837, 0.5501033968443056, 0.5341883705660514, 0.524113409711464, 0.5138065719864713, 0.49426674313079627, 0.5456866823047511, 0.539174443052903, 0.5291105270371982, 0.5279975212432695, 0.5479530634231536, 0.549783991018755, 0.5447132496376306, 0.5374904385669864, 0.5289659838582409, 0.5381970549204717, 0.5442238336300941, 0.5300067857817056]","[0.7028464293100675, 0.7398755516111214, 0.7426167296213159, 0.7515862653182435, 0.7476343891220217, 0.7584461598492847, 0.747946670713909, 0.7610215766879381, 0.7535058641978245, 0.7413408254972141, 0.7599424181555267, 0.7644322873334256, 0.7564965874335104, 0.7470785495957409, 0.7631165559857577, 0.7602870324520055, 0.7587577440949925, 0.7512263998874277, 0.747584995572189, 0.7562726887545059, 0.7519746411010507, 0.7464462930334633]","[0.9443471420044992, 0.9196822105669508, 0.9772266570259543, 0.9199974595331678, 0.884678791551029, 0.8713022750966689, 0.9234902870421317, 0.8841031813154033, 0.933276448764053, 0.8908338231198928, 0.9073856788523057, 0.9250396338163638, 0.8925924266085905, 0.8809769609395195, 0.91807632820279, 0.9410537995544135, 0.8907467617708094, 0.9810743939642813, 0.9935561926925883, 0.8994016647338867, 0.9567191209278855, 1.0032996324931873]",0.5418994413407822,0.5146401985111663,0.5153171726144402,0.708221440761323,0.9804591465564001
2,"[1.0413683633184643, 0.9820739525792882, 0.9539863391069588, 0.9359975287830252, 0.9194523399359329, 0.9064689885152069, 0.8893865243191236, 0.8825831510421989, 0.8690888619107822, 0.8603693153627119, 0.8469673581585485, 0.8356932708870471, 0.827099263274197, 0.7806993273911497, 0.7680587799407312, 0.7498667116732324, 0.7400908464245859, 0.728341048509539, 0.7164552256399315, 0.7098826183752867, 0.6968265744951854, 0.6856850213022484]","[0.5965238981998758, 0.527001862197393, 0.6201117318435754, 0.6014897579143389, 0.5977653631284916, 0.5940409683426443, 0.5679702048417132, 0.6374922408441962, 0.6263190564866542, 0.595903165735568, 0.6151458721291123, 0.6306641837368094, 0.6250775915580384, 0.5735567970204841, 0.6139044072004965, 0.5673494723774053, 0.5816263190564867, 0.6225946617008069, 0.5747982619490999, 0.617008069522036, 0.5723153320918684, 0.5493482309124768]","[0.5001498585462362, 0.4738656552812839, 0.5396221877366009, 0.5162249721103734, 0.5243254002286973, 0.5305771531265863, 0.49554471817036555, 0.5133124948611465, 0.5333614693220984, 0.5093286627737508, 0.5429205142132899, 0.5426822105790357, 0.5458209006764206, 0.5151995747182366, 0.5280430038151366, 0.5201843936609135, 0.5265513261106415, 0.5334593363037956, 0.5161221439293789, 0.5241702019998687, 0.5269376847961407]","[0.7172761982343561, 0.7308029120019731, 0.7442026884997626, 0.7327715963759118, 0.7386959092912747, 0.7500206291092222, 0.7433987575450697, 0.7401361141937096, 0.7463303235118617, 0.7430824677946285, 0.7481278495022557, 0.7405223961160755, 0.7406644284706815, 0.739186095343785, 0.7418724279088861, 0.7531304071620223, 0.7448875495192887, 0.7414614455459777, 0.7382252110512021, 0.7342382528051067, 0.7390755240916761]","[0.9587397306573158, 0.9537892902598661, 0.9165777739356545, 0.9095530638507768, 0.9162973714809791, 0.9048741448159311, 0.9370235590373769, 0.8686279584379757, 0.8779103954633077, 0.9104407827059428, 0.9026419310008779, 0.881046847969878, 0.9088247313218958, 0.9424738439859128, 0.9489219212064556, 0.9462478114109413, 0.946130726851669, 0.9060713637108896, 0.96508842940424, 0.915849464781144, 1.02021609100641]",0.527001862197393,0.5007444168734492,0.48649403565662025,0.70221198441382,0.9662414448601859
3,"[1.0426798785835636, 0.9886914955099249, 0.9536769916570134, 0.9316950193585803, 0.9127330365159964, 0.901552981217002, 0.8896270761930996, 0.8785327837068079, 0.8689764782720726, 0.8529089479194338, 0.8452238948597257, 0.8361074818125905, 0.8270543874097815, 0.8128039953729654, 0.79933841047308, 0.7926483265891474, 0.7457200506053833, 0.7261914040417398, 0.7173267753901461, 0.6967763866622018, 0.6905417986509559, 0.6832763799486706, 0.6672991419678743, 0.6634318260106746, 0.652803845605136]","[0.595903165735568, 0.6194909993792675, 0.6201117318435754, 0.6052141527001862, 0.569211669770329, 0.6492861576660459, 0.6163873370577281, 0.6225946617008069, 0.6312849162011173, 0.6455617628801986, 0.6219739292364991, 0.6132836747361887, 0.6368715083798883, 0.6108007448789572, 0.6368715083798883, 0.6468032278088144, 0.6076970825574177, 0.6244568590937306, 0.6343885785226567, 0.6132836747361887, 0.6530105524518932, 0.617008069522036, 0.5996275605214153, 0.569211669770329, 0.6244568590937306]","[0.47482682306588603, 0.5077027620987112, 0.5507468866653192, 0.5282535329224634, 0.4989476670781355, 0.5314937156590304, 0.5306901007036956, 0.541627657750343, 0.5403368559253408, 0.5430649483116051, 0.5373003533305492, 0.5250694054055753, 0.5388894674425662, 0.5403285652817446, 0.5217334154318146, 0.5624100231791745, 0.5476062173855228, 0.5542983407127539, 0.5530547393256303, 0.5412930393263001, 0.5475066133800545, 0.5356637974686675, 0.5245425272912904, 0.5267621113062325]","[0.7225401216049173, 0.7496496391730755, 0.7531777542746675, 0.7571467335114929, 0.7440028184131785, 0.7601349532032309, 0.7605553189603035, 0.7556115749575327, 0.7606209156838485, 0.7526693336777246, 0.7528840859482129, 0.7563233069390303, 0.7491348836320926, 0.7517138202790704, 0.7503039082384849, 0.7649400402362674, 0.7575333424159144, 0.756414621753965, 0.7538171304054893, 0.7469513647548526, 0.7577260284250787, 0.7342309156239205, 0.7408076158711925, 0.7497139167854822]","[0.9567831462504817, 0.9082390151771844, 0.9024040196456161, 0.8928401400061214, 0.9112130847631716, 0.8485050563718758, 0.8831999909644034, 0.902409086040422, 0.8494672857078851, 0.8490808477588728, 0.8954313187038198, 0.8973967877088809, 0.8786508534468856, 0.9318942123768377, 0.8629520290038165, 0.8859364565681008, 0.9886250075171975, 0.9345319084092683, 0.9076543730847976, 0.9611873346216538, 0.9015834495133045, 0.986246669993681, 1.069516712544011, 1.0388058903170567]",0.569211669770329,0.5210918114143921,0.5024388088628324,0.7118191794022994,0.9572688501978678
4,"[1.038118878781533, 0.9859607775043285, 0.9538839262487605, 0.9379447802310473, 0.9203215359591177, 0.91124694922422, 0.8967687508608276, 0.8852133946534295, 0.8722419388231202, 0.8655391162187518, 0.852036194260425, 0.8439621215087202, 0.801781588845316, 0.7857172654588842, 0.7801519554879697, 0.760651635966112, 0.7464340063968944, 0.7372775550455773, 0.7288521656249588, 0.7134058003514874, 0.7121631314050784]","[0.5183116076970825, 0.6176288019863438, 0.6207324643078833, 0.5822470515207946, 0.595903165735568, 0.5965238981998758, 0.6288019863438857, 0.6095592799503414, 0.6157666045934203, 0.6039726877715704, 0.595903165735568, 0.6207324643078833, 0.6194909993792675, 0.5766604593420236, 0.5940409683426443, 0.5952824332712601, 0.6188702669149596, 0.6362507759155804, 0.606455617628802, 0.6014897579143389, 0.5735567970204841]","[0.4290201817142411, 0.5149555725379681, 0.5217787175911252, 0.49936784944011875, 0.5137536202144073, 0.49185028931583835, 0.5113848987546601, 0.5068568290761434, 0.5247685801441325, 0.5366061719028742, 0.5067368558773844, 0.5172627269893184, 0.5282826384773617, 0.5284466629764405, 0.5114132359295834, 0.5267702357597143, 0.5352739391070673, 0.5236808460207176, 0.5243880848474131, 0.5223182822194982]","[0.693597997401596, 0.7363248202893358, 0.7374072651517686, 0.7421743548940469, 0.7439783575814967, 0.73068492002615, 0.7364952654421234, 0.7372984689924005, 0.7396290146365322, 0.7436434027484976, 0.731397914851292, 0.7408481855771928, 0.749324304296036, 0.7408997826077117, 0.7399621162089653, 0.7309365592914095, 0.7421538301064969, 0.7381719334827048, 0.7410545265122584, 0.7329650169798981]","[1.0044640840268602, 0.9292899440316593, 0.9139926351752936, 0.9367199376517651, 0.9211412808474373, 0.913032212678124, 0.895321414751165, 0.8954155047734579, 0.8992026202818927, 0.9343636783899045, 0.913644510156968, 0.9388667906031889, 0.9130318503753811, 0.9641673050674737, 0.9350050325487175, 0.9725435095674851, 0.9640775954022127, 0.9169507131857031, 0.9573052093094471, 0.9890612135915196]",0.5183116076970825,0.48870687515512534,0.4477500578695935,0.6750359134552201,1.003260302165198
5,"[1.0420879457753136, 0.9904486926904333, 0.9628360862248795, 0.9422909125094897, 0.9248391538201974, 0.9080508533815981, 0.9014757219127622, 0.887752871156264, 0.8764341250390209, 0.8655732477551515, 0.8552302295415937, 0.8436146100187092, 0.7999289303624157, 0.7823361838441588, 0.7706434659758329, 0.7655042667220867, 0.7511388805206651, 0.7394278667177923, 0.726120682474275, 0.7233493107531039, 0.7105114853854747]","[0.5611421477343265, 0.5952824332712601, 0.6455617628801986, 0.638733705772812, 0.6269397889509621, 0.6449410304158908, 0.6021104903786468, 0.6374922408441962, 0.6561142147734327, 0.6356300434512725, 0.612042209807573, 0.6039726877715704, 0.612042209807573, 0.6095592799503414, 0.6225946617008069, 0.5915580384854128, 0.6163873370577281, 0.5927995034140285, 0.6076970825574177, 0.6263190564866542, 0.6263190564866542]","[0.42827258674475255, 0.4811877753471842, 0.5155721093297593, 0.5341454160707989, 0.5376480273575521, 0.5364990836026474, 0.5129174525325867, 0.529754060942516, 0.5668542612860165, 0.5376064547756773, 0.4858630505369877, 0.5308508427915691, 0.5388720452702329, 0.5368344287017718, 0.5427155130004299, 0.5228635633792172, 0.5387809188750993, 0.525746048080671, 0.5328034001531684, 0.5392186505609926]","[0.6908111045306414, 0.7317629387884222, 0.7342984949315636, 0.7476943772951525, 0.7523356790294574, 0.7433743760859053, 0.7489260481770811, 0.7515483778910301, 0.7551127195855019, 0.7533325585053903, 0.7339898898334304, 0.7442664987557058, 0.7531026382109286, 0.7532554249055315, 0.7443810707707756, 0.7417870581273086, 0.7485079273474478, 0.7472671980129171, 0.7510488437142082, 0.737057085618825]","[0.975570350301032, 0.9272990308555902, 0.896790252012365, 0.8993462031962824, 0.8989834691963944, 0.8916950681630302, 0.9006610839974647, 0.8749601396859861, 0.8926381059721404, 0.8773427886121413, 0.9172965253100676, 0.9569083417163176, 0.9547045721727259, 0.9320959063137279, 0.9096096345022613, 0.9704867601394653, 0.9079727133115133, 0.9323847434099983, 0.942365776090061, 0.9371790284035253]",0.5611421477343265,0.48746587242491934,0.42430527990438743,0.6766836306742895,0.9944244008215647
6,"[1.0421826142308996, 0.9905365009664964, 0.9623874612316686, 0.9421537695739763, 0.9276946705606015, 0.915642321503635, 0.9033697679441931, 0.8929476976919805, 0.8813193059702802, 0.8656643009395851, 0.8600578150560152, 0.8502394286546413, 0.8431142857421338, 0.8027401689915931, 0.7769661933052382, 0.7670271655273858, 0.7558253428484375, 0.7416628125218043, 0.7258192913910366, 0.7180923632456868, 0.7105240163430243, 0.7019835764353496, 0.6918846321526078, 0.678496005842339, 0.6658122477158576, 0.6578871230984574, 0.6592816634981643, 0.639976277290987, 0.6358186943284215, 0.6289464276004993, 0.6237035469861808, 0.6182620597568378, 0.6061137689499078, 0.5651829809212999, 0.5489787070761694, 0.5410864495298936, 0.5273602099408137, 0.5245854489931976, 0.5171761726098963, 0.514501862063807, 0.5121277951787222, 0.5044745757585055]","[0.5654872749844817, 0.5586592178770949, 0.6021104903786468, 0.6194909993792675, 0.6418373680943513, 0.5940409683426443, 0.5896958410924892, 0.6139044072004965, 0.6182495344506518, 0.5872129112352577, 0.5927995034140285, 0.6393544382371198, 0.6039726877715704, 0.6250775915580384, 0.611421477343265, 0.606455617628802, 0.6306641837368094, 0.6027312228429547, 0.6294227188081937, 0.6058348851644941, 0.5834885164494104, 0.5363128491620112, 0.5996275605214153, 0.5698324022346368, 0.611421477343265, 0.5611421477343265, 0.5400372439478585, 0.5816263190564867, 0.6139044072004965, 0.5983860955927995, 0.6238361266294227, 0.5791433891992551, 0.5518311607697083, 0.585350713842334, 0.5679702048417132, 0.5983860955927995, 0.5754189944134078, 0.5996275605214153, 0.612042209807573, 0.585350713842334, 0.6263190564866542, 0.5766604593420236]","[0.45126385382533646, 0.47772769162143, 0.5226310936116608, 0.529173666496236, 0.5268895115517483, 0.5228494552433708, 0.5361429201175254, 0.5295365306459905, 0.5438250327563847, 0.5203849087453594, 0.5324941928115271, 0.545696397248357, 0.5407234360403524, 0.5436795334342119, 0.546705847376271, 0.52646215787939, 0.5306225607057767, 0.5374719056588849, 0.5258244337352045, 0.5343384143908109, 0.5226786495198741, 0.4990679156228586, 0.539037070808832, 0.5190450211768425, 0.5286584339360225, 0.5154980308013865, 0.5005477510264555, 0.5262554839851116, 0.5297203027926888, 0.5321179151536243, 0.5215956024555607, 0.5191639955730719, 0.5095639090898119, 0.5218262935816343, 0.5145146370591943, 0.5280888596105987, 0.5181624438560207, 0.5201202973292477, 0.5348282822897275, 0.5220994665289284, 0.5431504152635102]","[0.7229203147150681, 0.7382443053300771, 0.7512751884484606, 0.7491408804927344, 0.7445709370721394, 0.7423806942041516, 0.7498481044200926, 0.7422240830164206, 0.7608473014691848, 0.7512639678878396, 0.752370005849861, 0.7530464893902536, 0.7532535717463958, 0.7537681246998357, 0.7504732086252389, 0.746897743259741, 0.7443361959530299, 0.7477640390844114, 0.7404941395385252, 0.7394558654867169, 0.7432801858442417, 0.731236334417907, 0.7400313373816564, 0.7356758876076621, 0.7358655912502852, 0.7368493624566907, 0.7299585665619927, 0.7334994140840809, 0.7326726838177491, 0.7360288806072894, 0.7298609690500184, 0.726744759782299, 0.7255980816480484, 0.7339535710297839, 0.7297558204929725, 0.7354795650627715, 0.7282711335153077, 0.7241679439001466, 0.7307273632617962, 0.7311694971450016, 0.7328345810493596]","[0.9660724436535555, 0.9443884702289805, 0.9180831418317907, 0.9077832733883577, 0.8839292608055414, 0.9130854594941232, 0.9219784689884559, 0.9035548988510581, 0.8907078048762154, 0.912025558013542, 0.9448923375092301, 0.896480332402622, 0.9700794032975739, 0.8948541119986889, 0.9164104555167404, 0.9006187693745482, 0.873610656635434, 0.9795265197753906, 0.9123564537833718, 0.94063307724747, 0.9473811890564713, 1.0504302686335993, 0.9899367058978361, 1.0541536492459915, 0.9612788639816583, 1.0489673334009506, 1.1027583024081062, 1.0322460240008784, 0.9996795502363467, 1.0095540401982326, 1.0114253069840224, 1.0543109260353387, 1.0994733864185857, 1.0953021037812327, 1.1305313776521122, 1.0734780150301315, 1.1867528896705777, 1.124039932793262, 1.109282002729528, 1.1644008708935158, 1.1172979462380503]",0.5363128491620112,0.5186104218362283,0.5183499672564845,0.7188207254932181,1.0364730060100555
7,"[1.046601152367529, 0.9954681535649405, 0.9610815715159614, 0.9404781917643442, 0.9300166575919164, 0.9096852497644886, 0.8986642027216336, 0.8832032567603998, 0.8693910740020516, 0.8614462397434638, 0.853614139661915, 0.8373849880327737, 0.7991306601248124, 0.7875700503719011, 0.7692877780235812, 0.757362274149441, 0.7444946771151169, 0.7361473771312689, 0.7304594971009813, 0.7181896150506015, 0.707174095419535]","[0.5630043451272502, 0.5915580384854128, 0.6294227188081937, 0.6176288019863438, 0.6263190564866542, 0.6182495344506518, 0.5816263190564867, 0.6045934202358784, 0.5965238981998758, 0.595903165735568, 0.6430788330229671, 0.638733705772812, 0.6188702669149596, 0.6269397889509621, 0.6263190564866542, 0.585350713842334, 0.6126629422718808, 0.62756052141527, 0.6027312228429547, 0.6021104903786468, 0.6157666045934203]","[0.4453506739132693, 0.47714283084811293, 0.5212770562770562, 0.5210629468342717, 0.5297392708814028, 0.5386729955737295, 0.521710188428763, 0.5046528061120271, 0.5210593559240507, 0.5247732572166927, 0.5324050588025744, 0.5497015296455077, 0.5372226470859417, 0.5437966245560318, 0.5420719156453642, 0.5345369042462761, 0.5359522598247131, 0.5364270770759508, 0.5319249977069496, 0.5309116225976244]","[0.6823769972850968, 0.7243049785914496, 0.7450529097273056, 0.7487905619346117, 0.734396559654722, 0.7405868268201643, 0.7411199696520576, 0.7396810027246669, 0.7378345986239377, 0.7451602663444907, 0.7579644700626345, 0.7501518524180447, 0.7486019711522659, 0.749414885793394, 0.7456466670236984, 0.7433218003953973, 0.743734446141322, 0.7469238762732298, 0.7373443908501406, 0.7340796243061648]","[0.9909294037257924, 0.9154621164004008, 0.8906185615296457, 0.9005938394396913, 0.9106709945435617, 0.9103284337941338, 0.9485463651956296, 0.8902505764774248, 0.908354773240931, 0.9076853125703102, 0.8573440745765087, 0.8892952682925206, 0.9123811488058052, 0.899798200410955, 0.9238951007525126, 0.9639571402587143, 0.9281416850931504, 0.921816956763174, 0.9761191513024124, 0.9760708434908998]",0.5630043451272502,0.484863523573201,0.43980444484981995,0.6730471432915643,1.0016525889199877
8,"[1.0393847816578616, 0.988244731652054, 0.9561824541259968, 0.9393389994352399, 0.9238073782511219, 0.9108911328641328, 0.8970373380551779, 0.8850240345043233, 0.8731054563879441, 0.8641279283336606, 0.8553893751247339, 0.836358985449249, 0.7938698954256621, 0.7760687784213852, 0.7634815228405503, 0.7539937707558603, 0.743433294711134, 0.7240731549420546, 0.7193726412131398, 0.7111449437913391, 0.6947995577220875, 0.6841720334102404, 0.6720593226376084, 0.672709603732378, 0.6601261488666619, 0.6547141597003139, 0.6415579122725037, 0.6351056061520975, 0.6251873084495772, 0.6211054885702512, 0.6099957276283382, 0.608298447491839, 0.6004270521292078, 0.5944069566180528, 0.5812109280131462, 0.5829906843701124, 0.5809764483951787, 0.5784455187257691, 0.5667035058468974, 0.5577252371655161, 0.5504814004320405, 0.5442557273194654, 0.5038263919201191, 0.4959964885782565, 0.473431169921081, 0.4758249779564169, 0.48092819448347135, 0.46185402119212215, 0.45592001933883464, 0.4597561473625872, 0.44814442994179704]","[0.5623836126629422, 0.5779019242706394, 0.6083178150217257, 0.6194909993792675, 0.6288019863438857, 0.5890751086281812, 0.6058348851644941, 0.6288019863438857, 0.6405959031657356, 0.590316573556797, 0.5841092489137182, 0.6002482929857231, 0.6269397889509621, 0.6362507759155804, 0.6325263811297331, 0.5505896958410925, 0.5952824332712601, 0.6070763500931099, 0.5934202358783365, 0.6182495344506518, 0.5841092489137182, 0.5735567970204841, 0.5580384854127871, 0.6269397889509621, 0.547486033519553, 0.5983860955927995, 0.6052141527001862, 0.5896958410924892, 0.5630043451272502, 0.5592799503414029, 0.4965859714463066, 0.5685909373060211, 0.5865921787709497, 0.5878336436995655, 0.5599006828057107, 0.5996275605214153, 0.6350093109869647, 0.5580384854127871, 0.6089385474860335, 0.5400372439478585, 0.5294847920546245, 0.5505896958410925, 0.5599006828057107, 0.5673494723774053, 0.5580384854127871, 0.5884543761638734, 0.5841092489137182, 0.5872129112352577, 0.6014897579143389, 0.5983860955927995, 0.5797641216635631]","[0.46052472375287906, 0.48840069055136676, 0.522474898607307, 0.5329051213416452, 0.5460955800027875, 0.509623961002408, 0.5273852709809402, 0.5404747985784735, 0.5396933926628155, 0.5280246267665049, 0.5218670307559999, 0.5310023511719545, 0.5450499715804038, 0.5519072938746107, 0.5427542513086919, 0.5056218951955506, 0.5295149122657986, 0.5343539526244866, 0.5288410507401461, 0.5349484680618698, 0.512590166501098, 0.5141303501807865, 0.5042924672170516, 0.545344519745873, 0.5005117206130768, 0.5041192454752622, 0.5293725967955365, 0.5176598016769173, 0.5070852941614489, 0.5008726143390435, 0.46315404617425143, 0.5114052108932964, 0.5099958125912409, 0.496631345941849, 0.5121882666853796, 0.5304872380701346, 0.5415481829237627, 0.4969757693045534, 0.5267351914327082, 0.49159082149663164, 0.4828754008528018, 0.5007714527328039, 0.5046609401863037, 0.5047128153083832, 0.5062591589712707, 0.5134136158999679, 0.5160800706983469, 0.5207619529612738, 0.5202511776673183, 0.5143332321128493]","[0.7007095395931144, 0.7240776808208774, 0.7375781566577388, 0.7467192686673895, 0.7443609358342202, 0.7416971348560985, 0.7438765343943422, 0.7457167982925892, 0.7435645325960395, 0.7515787997816537, 0.7384175147628252, 0.7466977785175054, 0.7438653928332917, 0.7408375725583044, 0.7448719849576312, 0.7378896642994232, 0.7351802383317647, 0.7361825338897331, 0.7349897610502589, 0.7288812459856645, 0.730941623280238, 0.7250282261740701, 0.7244607813877458, 0.725840335551338, 0.7153881196650115, 0.7207951284138785, 0.7197615834113202, 0.7208698307831588, 0.7135805294757991, 0.7070392347629108, 0.7045745133084947, 0.7177371076748175, 0.7234435586995908, 0.7056555512322076, 0.7256545684623387, 0.7242406293402626, 0.7298189436186547, 0.7166130782499657, 0.7229725989303413, 0.7124532718041642, 0.7084754356798942, 0.718140157585252, 0.7119201608199303, 0.7147377449831412, 0.7155455220569734, 0.7175861726124507, 0.7214450746487028, 0.7253476556469103, 0.7179664221839924, 0.7212110451471722]","[0.9789863661223767, 0.9356842076077181, 0.8897831580218147, 0.8897009036120247, 0.9005248558287527, 0.9126682164622288, 0.9018163575845606, 0.903317227083094, 0.8703477569654876, 0.9171384549608418, 0.9142032639653075, 0.9006509874381271, 0.9062575323908937, 0.8953794194202797, 0.8991019743330338, 1.0291890420165717, 1.017093002796173, 0.9454150153141395, 0.9935601435455621, 0.9713545710432763, 1.012462246651743, 1.058223026640275, 1.0642227086366391, 0.9808364452100268, 1.0684858805993025, 1.0217702692630244, 1.0312389509350646, 1.0889651097503363, 1.0919326917797911, 1.1231723906947118, 1.2741109787249099, 1.0981612544433743, 1.0683327118555705, 1.1020579910745807, 1.1275588344125187, 1.0887001647668726, 1.020972254229527, 1.1204939309288473, 1.0705508846862644, 1.1564209215781267, 1.256300191084544, 1.2199464148166133, 1.1608467920153749, 1.2098638053033866, 1.2697089992317498, 1.1760562763494604, 1.2069324582230812, 1.1879082742859335, 1.2032429166868621, 1.184979734467525]",0.4965859714463066,0.4957816377171216,0.4993582696036307,0.6988699376610185,1.2528564234574635
9,"[1.0401429104647448, 0.9846989994269636, 0.954850230710622, 0.9347083370328475, 0.9191120043725169, 0.9007232849555918, 0.8972870351722062, 0.8832780831710882, 0.8690711195510915, 0.8560803175497685, 0.8523915060816357, 0.8375009743390104, 0.8235739142621666, 0.820504054361503, 0.8107053382806316, 0.7992532724588453, 0.7888343172714049, 0.7382622327704786, 0.7122464341476625, 0.7064633246691742, 0.6928164439710751, 0.6786757541516804, 0.678081668027172, 0.6573577662396536, 0.6552291030663225, 0.6412328801359899]","[0.5617628801986344, 0.6008690254500311, 0.5952824332712601, 0.6337678460583489, 0.638112973308504, 0.5561762880198634, 0.6263190564866542, 0.6263190564866542, 0.5946617008069522, 0.5884543761638734, 0.5878336436995655, 0.6319056486654252, 0.6474239602731223, 0.612042209807573, 0.5921787709497207, 0.6039726877715704, 0.5834885164494104, 0.5723153320918684, 0.6002482929857231, 0.6325263811297331, 0.590937306021105, 0.6033519553072626, 0.6288019863438857, 0.6070763500931099, 0.6070763500931099, 0.6213531967721911]","[0.4475228826952371, 0.4822622813663729, 0.5315551118246784, 0.5382566904876284, 0.5456600877365905, 0.5169867166247345, 0.5324199417691208, 0.5442848425578689, 0.5307319591806172, 0.5366213138151318, 0.5282066485597711, 0.562876044164012, 0.5332229887547296, 0.5159363006181622, 0.5091242413634041, 0.5229637670485198, 0.5263848143145816, 0.5151617001340035, 0.5297959542880558, 0.5347652686350078, 0.5245391635333394, 0.5320091682237261, 0.536485013719339, 0.5241947578368865, 0.513957350619532]","[0.7110344848781164, 0.7351058249365169, 0.7375479313357084, 0.7545114248460422, 0.7509476829442931, 0.7535885276008106, 0.7524379809413088, 0.7615013861990878, 0.7584080601221802, 0.7550105446732087, 0.749750145488246, 0.7573291864845603, 0.7494729136679013, 0.7486688359010344, 0.738612405370669, 0.7380292031320644, 0.7517920612002801, 0.7397127664963475, 0.7392986622820638, 0.7452776928826937, 0.7351580721126577, 0.7444308633071914, 0.7447395136911874, 0.7366357064837968, 0.7368163464004286]","[0.9746732968910068, 0.9236298448899213, 0.9284709236201119, 0.8808615558287677, 0.8841284630345363, 0.9290243761212218, 0.8675241587208766, 0.8756569331767512, 0.9121857694551057, 0.9135563046324486, 0.9215593443197363, 0.8785583482069128, 0.864434564814848, 0.8841433817265081, 0.9147697453405342, 0.9243463908924776, 0.9427234869377286, 0.9930315356628567, 0.9749254712871477, 0.9402232941459207, 0.9997132350416744, 1.0053124614790374, 0.9629051054225248, 0.9936794892830008, 0.9849068756197014]",0.5561762880198634,0.5023579051873914,0.5012677050401873,0.7055499565360206,0.9677309725019667
10,"[1.0415420161995068, 0.9898444914345174, 0.9611986416026884, 0.9383702268947064, 0.923534386614871, 0.9132340195945706, 0.8993433305608018, 0.8850612402750007, 0.8752296033934874, 0.8654511014270362, 0.8528431223352575, 0.8416150218852291, 0.8311536220201837, 0.8212330802159162, 0.821650229886765, 0.7669555402405986, 0.7491785425052769, 0.7377095587453127, 0.7253527005207171, 0.7135861228478637, 0.6937724656470546, 0.6826693080857987, 0.6798998754848993, 0.6686683663450149]","[0.6014897579143389, 0.606455617628802, 0.6213531967721911, 0.5307262569832403, 0.5741775294847921, 0.6269397889509621, 0.5890751086281812, 0.5803848541278709, 0.6207324643078833, 0.6083178150217257, 0.6058348851644941, 0.5828677839851024, 0.6300434512725015, 0.5996275605214153, 0.6232153941651148, 0.6070763500931099, 0.5710738671632526, 0.5940409683426443, 0.6039726877715704, 0.6343885785226567, 0.5865921787709497, 0.5990068280571074, 0.5816263190564867, 0.5890751086281812]","[0.47481100461954706, 0.5242530554999857, 0.5269825654203272, 0.48978571473599275, 0.47065052030559174, 0.5329186531569252, 0.4731483668614154, 0.5197066891971825, 0.5286033993250637, 0.5130361384084933, 0.5027222937119893, 0.5231490881637013, 0.5270982171215914, 0.4902443863777899, 0.5361027880408082, 0.5224508331423795, 0.5216120969283908, 0.5109174054922025, 0.504901553151525, 0.5404934545457267, 0.5289823105190924, 0.5164535457359144, 0.5168350518044178]","[0.6940050092889983, 0.7429552916013109, 0.7481320209916786, 0.7336098591016685, 0.72576572063858, 0.746411921489296, 0.7198885795500859, 0.738486040019226, 0.7429543600151057, 0.7405651755807244, 0.7306870626491904, 0.7438706177037512, 0.7373929258014686, 0.7177778311747091, 0.7477909319140319, 0.7399661060762363, 0.7385387922975637, 0.7347168404801726, 0.7250475354750489, 0.7350143273498219, 0.7391029801397586, 0.7318404533181467, 0.7261303091291132]","[0.9789301858228796, 0.9281626156732148, 0.8975964866432489, 0.964840856252932, 0.9312957747309816, 0.8762027282340854, 0.9500636785638099, 0.9460092619353649, 0.8779540412566241, 0.8952081483953139, 0.9145496417494381, 0.96642965779585, 0.9114756817911186, 0.9312659677337197, 0.8953988166416392, 0.9193640281172359, 0.9817178716846541, 0.9425084064988529, 0.9297714361957475, 0.9183167149038876, 1.0128243401938795, 0.9851706437036103, 1.0176973085777432]",0.5307262569832403,0.5179945395879871,0.5096505649684587,0.7174987971759202,0.9507680601543851
