fold,train_losses,val_losses,val_accuracies,val_f1s,val_roc_aucs,best_val_loss,test_loss,test_acc,test_f1,test_roc_auc
1,"[1.0527388007105185, 1.0284062790713122, 1.0194683530519713, 1.0154272571271736, 1.0106361008163065, 1.0045296155933767, 1.0058817562815376, 1.0024361535578572, 1.0032043459657005, 0.9994217393681867, 1.001590061424062, 0.999195220711998, 0.9982153515983784, 0.9956970942177962, 0.9942077643808289, 0.9962379004199075, 0.997368747048441, 0.9946227900782346, 0.9925082321996731, 0.993136306559987, 0.9926059844735435, 0.9896642577543132, 0.9806440122064515, 0.9820646069911083, 0.9744087680846059, 0.9773695869330268, 0.976459661638159, 0.9738081998236904, 0.9767895753163073, 0.9751192704171336, 0.9772788120786524]","[0.5443823711980137, 0.6033519553072626, 0.5729360645561763, 0.5605214152700186, 0.5983860955927995, 0.5605214152700186, 0.5698324022346368, 0.5896958410924892, 0.6225946617008069, 0.6194909993792675, 0.5313469894475481, 0.590316573556797, 0.5623836126629422, 0.54252017380509, 0.5505896958410925, 0.5828677839851024, 0.6139044072004965, 0.5747982619490999, 0.5630043451272502, 0.5766604593420236, 0.6008690254500311, 0.6151458721291123, 0.5927995034140285, 0.611421477343265, 0.5927995034140285, 0.5921787709497207, 0.6319056486654252, 0.5847299813780261, 0.606455617628802, 0.6002482929857231, 0.5896958410924892]","[0.48994454545169086, 0.4934017792679955, 0.4717409937316837, 0.46829164410966295, 0.4806285142663537, 0.483461925199182, 0.47020195384670777, 0.47973277659772956, 0.47606919335292264, 0.5006953336562051, 0.4720744765892295, 0.4780338927003236, 0.4968178647722136, 0.46232191848391074, 0.41452345567658977, 0.4709065278009978, 0.4731401436973533, 0.4357543454733852, 0.4469144104967535, 0.5064934778776661, 0.4695565045296897, 0.5064441803229446, 0.4978299995615257, 0.5268749523962838, 0.5117391606223826, 0.5057393117846857, 0.5304572094174503, 0.4992162349349855, 0.5069799702667437, 0.488164973409666]","[0.6805018882845828, 0.6943723780698741, 0.7055308122365344, 0.7016694947658088, 0.7096486371400473, 0.7190731988650804, 0.71364183439516, 0.7034490571203932, 0.7159395914525483, 0.7242668774067814, 0.7250979335035629, 0.7162621984399703, 0.7174038622640152, 0.7284399499745023, 0.7149126681459727, 0.7213748557044708, 0.7289108618101601, 0.7193036714862394, 0.7254315926627944, 0.7278809583651128, 0.7078813263325507, 0.7184881484472584, 0.7430286928017255, 0.7403446178722174, 0.7364542376445341, 0.7445325630709743, 0.7406415606350402, 0.7396254236913751, 0.7385328129142886, 0.7395517851469192]","[1.0180803362060995, 0.9683663506133884, 0.9708063812816844, 0.9690380867789773, 0.9432885296204511, 0.964503760431327, 0.9616489503897873, 0.9905923675088322, 0.9333641844637254, 0.9094007833331239, 0.9685741955158758, 0.9396785824906593, 0.9658901282385284, 0.9549064168743059, 0.9640754765155268, 0.9481685629077986, 0.9261259378171435, 0.9505529088132522, 0.9653730556076648, 0.9461336054053961, 0.997608925781998, 0.9377119342486063, 0.9133802582235897, 0.9136907633613137, 0.9163891731524, 0.9052624445335538, 0.8980531867812661, 0.928832028426376, 0.9143237167713689, 0.8990855754590502]",0.5313469894475481,0.4858560794044665,0.4557574593071118,0.6859115580237041,0.9878167685062166
2,"[1.0526549063852706, 1.0290377599552338, 1.0202348422636545, 1.020147790336399, 1.0133585323321137, 1.0106502942051656, 1.0094385242934794, 1.0064123212503442, 1.004945500306621, 1.0008764799996095, 1.0023940255463386, 1.0037394093784466, 1.0002337997442825, 0.9982321947681746, 0.9990401160349405, 0.9959058927019262, 0.994278205648918, 0.997898445124143, 0.9961405177210921, 0.9946356200436663, 0.9905777891301899, 0.9932749007504417, 0.9893557040701879, 0.9913102938477688, 0.9922032625402123, 0.990125011111146, 0.9823944476732599, 0.9784944461830912, 0.9811681912071379, 0.9734896997785778, 0.9771653803697241, 0.9758720442587059, 0.9730481878251231, 0.9771392056595386, 0.9765106798006049]","[0.5896958410924892, 0.5592799503414029, 0.5772811918063314, 0.595903165735568, 0.5350713842333954, 0.5599006828057107, 0.5698324022346368, 0.606455617628802, 0.6095592799503414, 0.5927995034140285, 0.5791433891992551, 0.5648665425201738, 0.548106765983861, 0.5710738671632526, 0.5307262569832403, 0.6405959031657356, 0.553072625698324, 0.6132836747361887, 0.6058348851644941, 0.5927995034140285, 0.5772811918063314, 0.6027312228429547, 0.547486033519553, 0.5878336436995655, 0.606455617628802, 0.6281812538795779, 0.5884543761638734, 0.5971446306641838, 0.6076970825574177, 0.5816263190564867, 0.5617628801986344, 0.5803848541278709, 0.6263190564866542, 0.5859714463066419, 0.6014897579143389]","[0.4648126919909931, 0.43632370740662735, 0.47866558146746163, 0.48656199009222906, 0.44912485779829314, 0.46932141450716774, 0.47917185855785127, 0.5009171327658891, 0.4755579712462008, 0.4986415038700675, 0.443787336487758, 0.42051729993934184, 0.4947330064766499, 0.4802547170278601, 0.39332288761519935, 0.5089134928627982, 0.44257065062635137, 0.4906397108779718, 0.49810649339053703, 0.45676950015349455, 0.47342204163845336, 0.5121962796079508, 0.4043081761006289, 0.4619681572732239, 0.5029529658571069, 0.5186910536270812, 0.4684816476158251, 0.4904209366448938, 0.520105700839285, 0.4601252888310068, 0.4588303090718549, 0.49129192634347274, 0.5202123145188445, 0.5178691564125145]","[0.6800108361537122, 0.7014443231516613, 0.6975405982568396, 0.7037737551210302, 0.7206218814423878, 0.6914407796137182, 0.6940900571474932, 0.703782509708462, 0.7004719888606695, 0.7213397013671393, 0.7138089539409976, 0.7091396291926095, 0.7169201569845546, 0.7206048660244294, 0.7019247041914692, 0.7298996452371367, 0.7195836109340336, 0.7262276020106584, 0.7337139757585388, 0.7258719531780319, 0.7365693013365906, 0.7377229289630424, 0.7201390218600435, 0.7341578252555498, 0.7326787065276547, 0.7320255677962438, 0.733653348161726, 0.740986613576788, 0.7439910856263756, 0.7330821936953907, 0.7286098677588603, 0.7392818978631981, 0.7384282928384586, 0.730186758757251]","[0.9854530025930965, 0.9781936699268865, 0.965848025153665, 0.9749826718779171, 0.965627512511085, 1.0193791892014297, 0.9842364554311714, 0.960675414870767, 0.9614453035242417, 0.9357703807307225, 0.9383156650206622, 0.9533654731862685, 0.9738108749483146, 0.9384709397951762, 0.9768103080637315, 0.8966291570195964, 0.9534502228101095, 0.906140571715785, 0.9241209065212923, 0.91542469403323, 0.9307474891344706, 0.926761200615004, 0.9708703768019583, 0.9198805713186077, 0.9272369263218898, 0.9120535359663122, 0.9244240627569311, 0.9141727604118048, 0.8974198640561571, 0.9244610082869437, 0.9487190047899882, 0.9195305599885828, 0.8886902086875018, 0.9360276647642547]",0.5307262569832403,0.47146401985111663,0.3861146995052789,0.6655182922017131,1.003475790932065
3,"[1.04825547928327, 1.0261117248808236, 1.0210561449044602, 1.0151513527405944, 1.0101323167132912, 1.011018704606573, 1.0087725685556554, 1.0051985031182546, 1.0051500638413535, 1.0033973823034816, 1.0008468621365298, 0.9962865162788509, 0.9997662459438593, 0.9987821161484404, 0.9953661231479981, 0.9916459195939454, 0.9948096209685708, 0.9957156699922116, 0.9930032166090306, 0.9906563259956596, 0.9908073166393498, 0.9900659547240723, 0.9783984020943158, 0.9799988941999259, 0.9756594163730806, 0.9749825142553724, 0.9756984094953747, 0.9719601495413003, 0.9745572290756629, 0.9728221442993517, 0.9714243556434362]","[0.5418994413407822, 0.5673494723774053, 0.5921787709497207, 0.6002482929857231, 0.6312849162011173, 0.5816263190564867, 0.5940409683426443, 0.6163873370577281, 0.5543140906269398, 0.5673494723774053, 0.5325884543761639, 0.5940409683426443, 0.5580384854127871, 0.585350713842334, 0.5791433891992551, 0.5965238981998758, 0.5977653631284916, 0.5884543761638734, 0.5822470515207946, 0.6319056486654252, 0.6163873370577281, 0.6157666045934203, 0.5754189944134078, 0.5990068280571074, 0.5729360645561763, 0.590316573556797, 0.5927995034140285, 0.5747982619490999, 0.5834885164494104, 0.6269397889509621, 0.5685909373060211]","[0.3957016552066324, 0.4670410879776811, 0.45344466967132163, 0.4945229271468632, 0.5123925615175035, 0.5181331403794094, 0.4866840847537392, 0.5229861849444891, 0.46086689186352553, 0.4187927000589063, 0.4684266849475551, 0.4789114078786163, 0.43663406483981687, 0.4399849620705499, 0.4726640643115268, 0.5140343203926744, 0.49602691725480547, 0.4971787470952194, 0.5037923561859732, 0.5238039642081002, 0.4660787288867021, 0.5063175817837525, 0.47535639879562014, 0.475223660021791, 0.5001079592808219, 0.507454786544577, 0.520650180903515, 0.47650481435075126, 0.48270978865240743, 0.5174127923069802]","[0.69090525535614, 0.7075913579930214, 0.705362394838244, 0.7075608588693324, 0.7201777989936038, 0.7362679428363021, 0.7299220423983486, 0.7239865478417014, 0.7315396426443007, 0.72888472071012, 0.7275052672635578, 0.7135879637802348, 0.7116970425824971, 0.7261529936712257, 0.7253178944314689, 0.7385694852939686, 0.7394404047491551, 0.7502124357071964, 0.7344522415088055, 0.7411723467799288, 0.7311187645719937, 0.7390362384833411, 0.7383437200807696, 0.7480986587352225, 0.7489023034060708, 0.7469911517679457, 0.7472563409219632, 0.7472512071362584, 0.7405965164792304, 0.7558243497800762]","[0.9830783991252675, 0.9654574931836596, 0.9564370735018861, 0.9569901788935942, 0.9400471367088019, 0.9527385620509877, 0.9468551932596693, 0.9499173339675454, 0.9523548589033239, 0.9474026350414052, 0.9621058702468872, 0.9717528410986358, 0.9731428120650497, 0.9445792798902474, 0.9380303983594857, 0.9380608493206548, 0.9304590248594097, 0.9160979565452126, 0.9282011424793917, 0.9020925947264129, 0.9081665616409451, 0.9239131142111385, 0.9302676810937769, 0.9182730854726305, 0.9293590211400798, 0.9227012723099952, 0.9088799404162987, 0.9270917656374913, 0.9233839102819854, 0.8821570382398718]",0.5325884543761639,0.47990074441687347,0.4567106973996446,0.6722326391295658,0.9944223591259548
4,"[1.048444011794313, 1.0285810987067117, 1.0157939651201475, 1.0115793592866822, 1.01317267060805, 1.007835827078588, 1.0031919040868986, 1.0049439196019445, 0.9992789016946297, 1.0013648157340314, 0.9996604603030083, 0.9976396487147797, 0.9881283022496143, 0.9859005422844236, 0.9877418888823051, 0.9835105722171095, 0.9824103291601861, 0.9810229948176161, 0.9809879194534823, 0.9813379489115156, 0.9784501517921818]","[0.47734326505276226, 0.5567970204841713, 0.5170701427684667, 0.5710738671632526, 0.6008690254500311, 0.6350093109869647, 0.5878336436995655, 0.5965238981998758, 0.6238361266294227, 0.5661080074487895, 0.5816263190564867, 0.6194909993792675, 0.5977653631284916, 0.5505896958410925, 0.5418994413407822, 0.5766604593420236, 0.563625077591558, 0.5841092489137182, 0.5356921166977033, 0.5977653631284916, 0.6101800124146493]","[0.2976680203095297, 0.4626845203200589, 0.4400736951161363, 0.41452175575265904, 0.5081422118454392, 0.4965648452596568, 0.47685972126896553, 0.4799480253904154, 0.523738105834234, 0.48680527297945725, 0.47150298337493285, 0.47465173036250047, 0.5052604961860796, 0.4246892621132483, 0.4630184109065892, 0.48557412090974844, 0.49782017485121566, 0.4859455065094181, 0.41080700435679907, 0.5229212192935119]","[0.666224830423867, 0.7007323647765552, 0.7020204138585, 0.6951331428854947, 0.713354873197866, 0.7147403485259461, 0.7124943405283747, 0.7285227906825137, 0.7276054405095437, 0.735593634246177, 0.7194699237619772, 0.7196280794744906, 0.734490728153177, 0.720919528761072, 0.7314420290311004, 0.736551527436674, 0.7460787677275755, 0.7393303444736641, 0.7221493373991347, 0.7405745403630662]","[1.0456840898476394, 0.9985873079767414, 1.013867580423168, 0.9581062092500574, 0.9795127990199071, 0.9365139404932658, 0.9582207167849821, 0.9443801220725564, 0.9459385439461353, 0.9542365039096159, 0.9603541306420869, 0.9202010467940686, 0.9456792263423696, 0.9791422731736127, 0.9641145865122477, 0.9488985900785408, 0.945533949954837, 0.933537547494851, 1.010238198673024, 0.9248671075877022]",0.47734326505276226,0.43310995284189624,0.3112318395748292,0.6359541051371532,1.037328927289872
5,"[1.0502598314558358, 1.0307120121523148, 1.0225867686817824, 1.0169595028335303, 1.0107965621654158, 1.007992640334604, 1.00702949701952, 1.0021888452216918, 1.0044889959469765, 1.001931022442385, 0.999394318474547, 0.9990163017474607, 0.9958890176292033, 0.9953886178621637, 0.9932662511186978, 0.9917891222474858, 0.9944228273918976, 0.9944638023029865, 0.9905025708255264, 0.9839153906847412, 0.9814505683430491, 0.9812455231135112, 0.9789773644592268, 0.9803412875677521, 0.9793719494395319, 0.9768383886320475, 0.9799594424894728, 0.9745840729595806]","[0.5946617008069522, 0.5356921166977033, 0.5245189323401613, 0.5710738671632526, 0.5512104283054003, 0.5679702048417132, 0.6157666045934203, 0.5027932960893855, 0.6070763500931099, 0.5803848541278709, 0.5971446306641838, 0.5816263190564867, 0.6070763500931099, 0.5884543761638734, 0.6058348851644941, 0.5828677839851024, 0.563625077591558, 0.5524518932340161, 0.5971446306641838, 0.595903165735568, 0.6188702669149596, 0.6008690254500311, 0.5965238981998758, 0.6014897579143389, 0.606455617628802, 0.5791433891992551, 0.5983860955927995, 0.5698324022346368]","[0.48328856210346754, 0.4643116635162529, 0.4605251295920667, 0.49104255901665644, 0.4906225761711154, 0.42127534399015465, 0.5045568464239012, 0.450648860409623, 0.5055092180072442, 0.5011079430207543, 0.446618070352412, 0.5040383848772904, 0.5034929183151128, 0.5097679805851733, 0.5152224141950169, 0.48821379871380444, 0.48747624487930036, 0.435137550750968, 0.46507543972891674, 0.4954933887376914, 0.5049084547427934, 0.48939433835776436, 0.4727069571790068, 0.48333713421218855, 0.4895069890300998, 0.45023370637813054, 0.5026656072565907]","[0.6818985257018619, 0.6917480908981256, 0.6923742476347322, 0.7154405831606502, 0.7126726601395026, 0.7077263510945961, 0.7291085515909619, 0.728229869815551, 0.7357555645162145, 0.7258635656770064, 0.7178749849681801, 0.7338105008927505, 0.7193865449123753, 0.7355114359757571, 0.7375566659593505, 0.73438348239809, 0.7365407339291838, 0.7326884209747431, 0.7376417396098033, 0.7391838280129951, 0.742765490578177, 0.7390115892281228, 0.7401311240655776, 0.739832085081949, 0.734245965220491, 0.7361204693743421, 0.7458903257792899]","[0.9992534775359958, 1.0036709904670715, 1.0222665819467283, 0.9874472524605545, 0.9886241859080744, 0.9537988386902154, 0.9353733495169995, 0.9930321878077937, 0.930996252041237, 0.9626355147829243, 0.9258477325532951, 0.947786478435292, 0.9636965510891933, 0.9324063015919105, 0.9329640654956594, 0.9402079757522134, 0.9441471941330853, 0.9642905370861876, 0.9363214817701602, 0.9270298445925993, 0.8990967963256088, 0.9259101830276788, 0.9313409702450621, 0.922834152100133, 0.9048328387971017, 0.9303651580623552, 0.8989797702022627]",0.5027932960893855,0.4797716554976421,0.46020805304605394,0.6824132388093288,0.9943363146176414
6,"[1.0515606639668804, 1.0302269205385368, 1.0245970475778705, 1.0148093751611162, 1.0143564120263255, 1.0086723474153863, 1.0055289251426243, 1.0072212913750551, 1.005312629602029, 1.003794251822165, 1.0004326156320025, 0.9998701985449517, 0.9953451538663604, 0.988802681541653, 0.9912476561930736, 0.9859419833983619, 0.9852272321999336, 0.9841722742313855, 0.983405834646477, 0.9834688820502832, 0.9777005325329986]","[0.4456859093730602, 0.5990068280571074, 0.5934202358783365, 0.527001862197393, 0.5282433271260087, 0.5605214152700186, 0.5437616387337058, 0.5648665425201738, 0.6139044072004965, 0.5040347610180013, 0.553072625698324, 0.5468653010552452, 0.5816263190564867, 0.5623836126629422, 0.6188702669149596, 0.6108007448789572, 0.6095592799503414, 0.6027312228429547, 0.5859714463066419, 0.5896958410924892, 0.5915580384854128]","[0.3730358004330607, 0.4783246370672621, 0.49488166545214174, 0.48153405505834823, 0.49210302959051727, 0.4506282125675436, 0.47508345928136136, 0.4662777382761496, 0.5010222025349284, 0.39608641408038453, 0.48335827590091257, 0.42508031769058974, 0.47752658017587885, 0.4713407638048961, 0.510683726258537, 0.49174324789415036, 0.5020096044373629, 0.5039257934216421, 0.475036942349158, 0.4826503764116043]","[0.6799676706695407, 0.7004589512888805, 0.7090884918993209, 0.7029303140966796, 0.7151050097072305, 0.7149539597076061, 0.714546027117214, 0.725312906945461, 0.7226654430486775, 0.706766099012572, 0.7322838938460493, 0.7221642921358175, 0.7362240073772139, 0.7368644176149796, 0.741217322535928, 0.7345283045277541, 0.742359986138237, 0.7397443590921213, 0.7400970141403495, 0.7448870167382315]","[1.0346277730137694, 0.9714273354586433, 0.9615194668956831, 1.0150623555276908, 0.996395441831327, 0.960792834852256, 0.9626035620184505, 0.9521303398936403, 0.956395031190386, 0.9960662664151659, 0.9616053151149376, 0.9638270069571102, 0.9358751142726225, 0.9409598509470621, 0.910739405482423, 0.9147316778407377, 0.9120484216540468, 0.9104372543447158, 0.9171639493867463, 0.9184493936744391]",0.4456859093730602,0.43945409429280397,0.38944626712036684,0.6421413077732052,1.0298192732863956
7,"[1.050121575200085, 1.0292044913453677, 1.0233610727976072, 1.01618350405525, 1.015015759131982, 1.0117178497598034, 1.0090601255190006, 1.0032457325952169, 1.0060220396203616, 1.003223491529011, 1.0001071229380132, 0.9974057057355469, 0.9996011022166533, 1.0003846776117837, 0.9971298647609577, 0.996825577666581, 0.9949550247927594, 0.9930752618197303, 0.9918866896681848, 0.9931589548808363, 0.9932440947330996, 0.9896392796008072, 0.9903939354524739, 0.979859435742122, 0.9811743693467279, 0.9833319075569708, 0.9768646423774668, 0.9784280343990494, 0.9817985221415364, 0.9790577066627368, 0.9778615269104289, 0.9780466740351942]","[0.5605214152700186, 0.5977653631284916, 0.5338299193047796, 0.521415270018622, 0.548106765983861, 0.5779019242706394, 0.569211669770329, 0.5772811918063314, 0.611421477343265, 0.590937306021105, 0.5859714463066419, 0.4860335195530726, 0.5834885164494104, 0.5747982619490999, 0.5983860955927995, 0.6139044072004965, 0.5890751086281812, 0.5878336436995655, 0.5412787088764742, 0.6052141527001862, 0.5828677839851024, 0.6083178150217257, 0.5443823711980137, 0.595903165735568, 0.5766604593420236, 0.6188702669149596, 0.6021104903786468, 0.6362507759155804, 0.6008690254500311, 0.6095592799503414, 0.6244568590937306, 0.5952824332712601]","[0.4599664530520248, 0.48810905436360813, 0.4346281646528764, 0.4634362473601788, 0.3882660880951068, 0.514494582084467, 0.48118516044584786, 0.4621825911252631, 0.5033781581767364, 0.4949917899278466, 0.47262852534820804, 0.3539929029114129, 0.49459002167295857, 0.5104820778721847, 0.4801839190210517, 0.4734552886996901, 0.4516360586912333, 0.5046899378119766, 0.4892402066833468, 0.48133218402460876, 0.49901309848431313, 0.5091439257695415, 0.43347056131179623, 0.5090565720999363, 0.47197725247605576, 0.5319804866673362, 0.5250028393045597, 0.5257811630620453, 0.516704218601134, 0.5276485320060774, 0.5215765331436872]","[0.6790130094192919, 0.7050304713520159, 0.7157271145230775, 0.7101151057766514, 0.7177664661135376, 0.7196796767405069, 0.7193142787338965, 0.7304622885779759, 0.7280308811152816, 0.7273108424435281, 0.734293917863373, 0.6657154603378573, 0.7333754666563178, 0.739138525328098, 0.7329294653314644, 0.7376232860105159, 0.7354322594162076, 0.7337853191216156, 0.7236566177226731, 0.7321462756256647, 0.7402387749068097, 0.7248981858421444, 0.7211964240733492, 0.7445729460026853, 0.7412592883139318, 0.7479454391005307, 0.7456915617224086, 0.7403610175631908, 0.7468941965545497, 0.7507902440007523, 0.7461922104293611]","[1.0121661740190842, 0.966616598998799, 0.9875151479945463, 0.9862185225767248, 0.9659641209770652, 0.9842025403882942, 0.9473125069749122, 0.942102008006152, 0.9504195615357044, 0.9243965359295115, 0.9437695484535367, 1.0409088216575921, 0.9450706009771309, 0.9530743863068375, 0.9128819820927638, 0.9176146329617968, 0.9313630777246812, 0.9406563663015178, 1.000823157675126, 0.9158723646519231, 0.9312964864805633, 0.9726864309871898, 0.9747760307555106, 0.9230807610586578, 0.9311416710124296, 0.9123878514065462, 0.9110827294050479, 0.9108015859828276, 0.9130483935861027, 0.8974281467643439, 0.897682365249185]",0.4860335195530726,0.43325062034739453,0.34415519653944426,0.6339571779014591,1.0524565691039676
8,"[1.0489600219390465, 1.0327113075140815, 1.0222777334341393, 1.0200514811776282, 1.0127581172840185, 1.0070210332912495, 1.005766684394576, 1.0045540861883877, 1.0048153577659624, 1.0010844945645017, 1.0009185767646402, 1.0006650906827481, 0.9962969854277136, 0.9889837081999505, 0.9891713436217034, 0.9865151029326317, 0.9852218322029198, 0.9854382638889262, 0.9826745187395994, 0.9806358808987992, 0.9806379808465815, 0.9752044159147708]","[0.5735567970204841, 0.49162011173184356, 0.5543140906269398, 0.5791433891992551, 0.5363128491620112, 0.5779019242706394, 0.5567970204841713, 0.5698324022346368, 0.5400372439478585, 0.5611421477343265, 0.5617628801986344, 0.5791433891992551, 0.5499689633767846, 0.5785226567349472, 0.5965238981998758, 0.5685909373060211, 0.5586592178770949, 0.5896958410924892, 0.5673494723774053, 0.6052141527001862, 0.5518311607697083, 0.5834885164494104]","[0.3985506652129512, 0.37111286118998416, 0.3901359921096763, 0.4665340716713786, 0.417957267743978, 0.4497568208108911, 0.44216660172903505, 0.38021450110491206, 0.4596802211286375, 0.407207043822382, 0.44686570824397803, 0.45945654103155587, 0.40057148886075716, 0.5025308972911161, 0.47448299711398145, 0.4379089988642049, 0.45693936683455294, 0.49663672268130904, 0.49341939374664384, 0.4954058032329604, 0.41748746106245505]","[0.6746075674712363, 0.6735986792986388, 0.6913407986402079, 0.6950185095467815, 0.7044788036576947, 0.7027746437439853, 0.6947573203159672, 0.6909281172853655, 0.7132416548621521, 0.6877827258261897, 0.7135009488859901, 0.7094836843328532, 0.7051385662496457, 0.7284930427870483, 0.7235833433328102, 0.7230489226552744, 0.7261013737445502, 0.7280632532337705, 0.7300042813247661, 0.7281467943197484, 0.7157940789724767]","[0.9596612488522249, 1.0329844484142228, 0.9833858702697006, 0.9667230271825603, 0.9612001531264361, 0.9483312543700723, 0.9599505242179421, 0.9556688666343689, 0.9860084559403214, 0.971711676494748, 0.9661583316092398, 0.9607713900360406, 0.9711191630830952, 0.949516172502555, 0.9336880433793161, 0.9562253706595477, 0.9402398665746053, 0.9343083746293012, 0.9445569620412939, 0.9195041866863475, 0.9628122343736536]",0.49162011173184356,0.4486352357320099,0.37144112406331303,0.6661355312258825,1.0195536433704315
9,"[1.0457532046124798, 1.0249022627454498, 1.0176248148674483, 1.0154901858468413, 1.0100171966437201, 1.004255321319933, 1.0028996106548982, 0.9996656814860877, 0.9993227922443776, 0.9951734145044755, 0.9956896517770406, 0.9944754160185743, 0.9853216094592594, 0.9844231998080198, 0.9847016410680595, 0.9797930706965241, 0.9760243993761256, 0.9747580615434353, 0.9759731651140204, 0.9749165551515403, 0.9735967041637403]","[0.5301055245189323, 0.5983860955927995, 0.5884543761638734, 0.5512104283054003, 0.590937306021105, 0.6145251396648045, 0.5561762880198634, 0.5785226567349472, 0.606455617628802, 0.5412787088764742, 0.5890751086281812, 0.612042209807573, 0.5679702048417132, 0.5921787709497207, 0.6052141527001862, 0.611421477343265, 0.6219739292364991, 0.5803848541278709, 0.5946617008069522, 0.5673494723774053, 0.5990068280571074]","[0.4724973963737238, 0.4561077304558454, 0.485173177016682, 0.3780215306682901, 0.4776914594152986, 0.520194654646909, 0.40067575889228996, 0.4535021375642197, 0.5124889148711192, 0.4859932623384792, 0.4623794626702704, 0.5184812638844294, 0.43568603104555087, 0.5164009439017753, 0.4893984780017729, 0.49851041497739373, 0.477798058637592, 0.46997724343357655, 0.48919105188963913, 0.45965149943301126]","[0.6866423318232888, 0.691570682762975, 0.7029695349048198, 0.6929686647469947, 0.7129910643842713, 0.7181509090908635, 0.7153783276064679, 0.7184780841977115, 0.7304575572479752, 0.7177867173112014, 0.7327417026101891, 0.7303176134454774, 0.7310885104591819, 0.7302215040833563, 0.7349909356046167, 0.7402173910963982, 0.7285994823864397, 0.731328708424103, 0.7384489858488873, 0.72974982254582]","[1.0065306296535568, 0.9526591487959319, 0.9682482340756584, 0.9654303193092346, 0.9453589577300876, 0.9488974552528531, 0.955614329553118, 0.9371449701926288, 0.9470598943093244, 0.9695471525192261, 0.9310639372058943, 0.9194284361951491, 0.9396857876403659, 0.9322146586343354, 0.9184342389013253, 0.8993472269937104, 0.8817459239679224, 0.9228508741247887, 0.9023560121947644, 0.9449118901701534]",0.5301055245189323,0.45569620253164556,0.44098633481898974,0.628610789212234,1.035181958050955
10,"[1.0529021037832755, 1.0308736806924124, 1.0221290093424036, 1.0152423540663613, 1.0093084598690403, 1.0097079330866556, 1.0081696943564562, 1.0060149716123086, 1.0010628366785428, 1.0030954151951794, 0.9988094251849052, 0.998864526396806, 1.0004986343404796, 0.9954310582072724, 0.9884464949500719, 0.9875056348445657, 0.9826520487075335, 0.9846698670660347, 0.9798292950911669, 0.9796419267087256, 0.9786773484183828, 0.9767619620860936, 0.9778156659939216]","[0.5698324022346368, 0.5741775294847921, 0.5412787088764742, 0.6027312228429547, 0.5915580384854128, 0.5716945996275605, 0.5456238361266295, 0.6089385474860335, 0.5555555555555556, 0.6058348851644941, 0.6256983240223464, 0.5890751086281812, 0.5667287399130975, 0.6163873370577281, 0.5536933581626319, 0.5797641216635631, 0.6139044072004965, 0.5896958410924892, 0.5990068280571074, 0.6151458721291123, 0.5977653631284916, 0.6083178150217257, 0.6033519553072626]","[0.4178854688337323, 0.4173427769492199, 0.39705974721240667, 0.4799709076260319, 0.4502774889609944, 0.4145779043396953, 0.42690399065477497, 0.45955159161192544, 0.4373721785824847, 0.4869887999673865, 0.5083479598729177, 0.4785038999892394, 0.489017197016645, 0.49738286537696563, 0.47960319433100934, 0.46801566360040975, 0.5156218356010828, 0.4780008048897469, 0.5314448920961768, 0.5008658418765163, 0.5050487152860818, 0.5279005632667056]","[0.6736717477639349, 0.6933020376655095, 0.7009945003639607, 0.7123836480193485, 0.7110430821759758, 0.7015824327331974, 0.7218100773342894, 0.7188493566511408, 0.7147598401194529, 0.7265716734514754, 0.7133126152961554, 0.7180564604225471, 0.7326691905297794, 0.7253685628227496, 0.7342629390279688, 0.7390721637960982, 0.7434337052504291, 0.7397154099700455, 0.7432163766562127, 0.7404372260301101, 0.7371969977427139, 0.7477016720120083]","[0.9997593585182639, 0.9587480577768064, 0.9741985166774076, 0.9580526632421157, 0.9530109073601517, 0.9646602798910702, 0.975656809760075, 0.9462185595549789, 0.9780281840586195, 0.9222956615335801, 0.9452814062436422, 0.9472173312131096, 0.9681576911140891, 0.9426178102399788, 0.9645684197837231, 0.9342212303012025, 0.9132530548993278, 0.9217536028693704, 0.9291392506337633, 0.9047792121475818, 0.9208788252344319, 0.9113317891663196]",0.5412787088764742,0.4666170265574584,0.361797189294647,0.6551046281503159,1.0093130474052732
